 	hai	già	mangiato	</S>
è	0.7513136	0.103232205	0.07957533	0.065878846
c	0.83089244	0.104651645	0.042655602	0.021800203
h	0.5634898	0.17082576	0.19030072	0.07538368
i	0.6050892	0.2675152	0.06724266	0.060152985
g	0.048772767	0.8352984	0.07496789	0.040960874
i	0.025891572	0.5529656	0.25427935	0.16686346
à	0.0479833	0.2851815	0.5511257	0.115709566
f	0.004534949	0.060870994	0.89120936	0.043384697
a	0.0004581789	0.033499315	0.9458187	0.020223854
m	0.021300884	0.055493154	0.42277688	0.50042903
è	0.0023639717	0.026135445	0.58491594	0.38658464
n	0.08160121	0.096309185	0.6157617	0.20632792
a	0.0012859497	0.012319215	0.65331054	0.3330843
</S>	0.002253744	0.004474926	0.08490718	0.9083642
