 	sul	muro	vuole	uno	specchio	</S>
s	0.94926775	0.013746473	0.0069544422	0.006419472	0.016046645	0.0075651803
t	0.87617433	0.042462364	0.020513952	0.020044887	0.020382026	0.020422496
o	0.84771484	0.0046843216	0.034222964	0.028406523	0.041123103	0.043848265
t	0.3029755	0.6016758	0.027865052	0.022484478	0.022492407	0.022506768
ì	0.116298586	0.04831815	0.057245478	0.12375222	0.30332524	0.35106033
c	0.7052013	0.13930401	0.061779276	0.026343545	0.033333812	0.034038126
h	0.10455301	0.07973187	0.21828187	0.077795975	0.23645486	0.28318244
o	0.40630496	0.26886463	0.18587825	0.04342909	0.04750819	0.048014898
t	0.0065806126	0.43383107	0.51158893	0.02372502	0.012283017	0.011991334
è	0.0027171525	0.04264425	0.4561978	0.15960473	0.16720596	0.17163004
l	0.017655758	0.04160212	0.85876703	0.030844158	0.025500333	0.025630625
i	0.0023288114	0.006323144	0.8278055	0.06450556	0.049105983	0.049931023
o	0.00075299403	0.0068681007	0.11608251	0.81293744	0.0429918	0.020367231
j	0.0003601625	0.0013091123	0.0059276223	0.8427398	0.08697685	0.06268643
e	0.0018100815	0.002422352	0.022630233	0.521175	0.18617713	0.26578516
l	0.00032583714	0.001515832	0.020081803	0.43300888	0.18649413	0.3585735
ì	0.00074526935	0.00014716007	0.004174059	0.2195477	0.40698713	0.36839867
</S>	0.0006786153	0.001189118	0.035725385	0.2761025	0.6010265	0.085277975
