 	ho	rotto	una	bottiglia	</S>
è	0.7653425	0.07165974	0.04227331	0.07795428	0.042770226
g	0.74563754	0.18435559	0.029985648	0.0043454547	0.03567579
l	0.56599694	0.18547706	0.10889298	0.018051542	0.12158143
a	0.520654	0.21224934	0.11939377	0.016200913	0.1315019
s	0.03217333	0.37204832	0.47484905	0.05568486	0.06524447
a	0.04806528	0.3040339	0.5332247	0.03538965	0.07928649
m	0.019641249	0.09591994	0.7534847	0.0652013	0.065752886
i	0.004540412	0.020380275	0.8462121	0.037866235	0.091000944
a	0.025861496	0.061128486	0.522023	0.2427195	0.14826752
b	0.003303186	0.010552632	0.39402977	0.45057282	0.14154154
u	0.000823087	0.002278736	0.052625977	0.8638247	0.08044745
t	0.012484789	0.025956398	0.15986668	0.60406375	0.19762836
t	0.0004659412	0.0004386766	0.003796871	0.96929604	0.026002442
ì	0.0019839553	0.0062820297	0.081643976	0.24123743	0.66885257
g	0.0048950836	0.0036540697	0.0284439	0.91452163	0.04848537
l	0.0016801347	0.004932072	0.009760968	0.6787235	0.30490336
i	0.0038761836	0.008548588	0.006395807	0.91325223	0.06792721
a	0.05710439	0.024311675	0.11145245	0.5956692	0.2114623
</S>	0.018792324	0.0062414203	0.008864829	0.42333558	0.54276586
