 	il	muro	vuole	uno	specchio	</S>
o	0.9476975	0.03232817	0.004154484	0.003275759	0.008719261	0.0038247937
t	0.3139632	0.58997774	0.028975189	0.022041673	0.02197363	0.023068607
ì	0.194095	0.08645726	0.09574581	0.15756859	0.22560415	0.24052921
c	0.2396087	0.25852972	0.18700483	0.086889714	0.11310558	0.11486145
h	0.09658356	0.028717577	0.26215184	0.086855955	0.24130975	0.28438133
o	0.34048682	0.2425329	0.20553601	0.06651031	0.07206615	0.07286787
t	0.01660259	0.37706187	0.5531641	0.024417493	0.014483911	0.014270051
è	0.0088620065	0.014657384	0.34635857	0.19639283	0.21405597	0.21967322
l	0.01567877	0.017929021	0.87613785	0.03474189	0.027555645	0.027956923
i	0.0030570661	0.003297987	0.7682767	0.09350006	0.064553924	0.06731435
n	0.0008868565	0.0058124205	0.07416535	0.8577779	0.04050326	0.020854242
a	0.0006529239	0.00012235477	0.013260129	0.76366764	0.12223919	0.1000578
n	0.000914715	0.0053469595	0.0078026685	0.8683286	0.08849476	0.029112218
g	0.00048981246	7.977091e-05	0.006523024	0.5686559	0.19198044	0.23227106
h	0.000571545	0.00030198175	0.026597232	0.6967587	0.0897488	0.18602173
i	0.0006997739	0.00045985082	0.028578771	0.44496247	0.25382045	0.2714787
a	0.0018397806	0.00033203154	0.0047867475	0.055786308	0.22940187	0.70785326
l	0.0003359407	1.9340618e-05	0.0019696911	0.04359225	0.17678693	0.7772959
ì	0.00053433096	1.2152678e-05	0.00064398337	0.0039397534	0.48205093	0.5128188
</S>	0.00011959448	0.00011883083	0.00044002643	0.029672343	0.3084465	0.6612028
