 	vengono	vestiti	</S>
è	0.9139465	0.03835548	0.047697958
r	0.9639253	0.015713677	0.020361008
k	0.9772096	0.012215848	0.010574512
u	0.8633007	0.050966654	0.08573267
t	0.13387576	0.82676834	0.039355982
t	0.02701049	0.8308106	0.14217895
e	0.057941195	0.75437206	0.18768685
n	0.0073290947	0.76390445	0.22876649
d	0.0032208438	0.5157131	0.4810661
i	0.057452247	0.45211342	0.4904344
m	0.032319415	0.06847267	0.8992079
è	0.0051500695	0.0098981345	0.9849518
n	0.36836034	0.07068167	0.56095797
a	0.050137386	0.05787828	0.89198434
</S>	0.012388435	0.14198638	0.8456252
