 	se	vieni	alle	sette	ancora	non	è	pronto	</S>
a	0.64012444	0.27511	0.020763483	0.013722787	0.009115776	0.009447541	0.010665063	0.011092571	0.0099584
n	0.4990396	0.24652596	0.09073568	0.029903542	0.028001	0.021095697	0.027342219	0.028153121	0.029203217
è	0.019890381	0.017665341	0.56387985	0.015547323	0.09668107	0.0018264042	0.07780655	0.10424052	0.10246255
r	0.018977603	0.06807253	0.78146625	0.0131863365	0.017409414	0.0036025967	0.010920177	0.03825426	0.048110932
t	0.0052804733	0.018121105	0.8793457	0.0052273	0.013873322	0.0006139182	0.008406277	0.027530028	0.041601717
i	0.036147203	0.13758151	0.49748635	0.043303996	0.043482095	0.023401551	0.036212813	0.07276271	0.10962176
s	0.023317965	0.056782626	0.61312944	0.19984297	0.037604865	0.0062507084	0.019069634	0.02177123	0.022230607
e	0.0014864727	0.00511767	0.6369026	0.13322268	0.06528903	0.003154048	0.03511613	0.0581301	0.061581343
s	0.017377472	0.013453399	0.13965984	0.6028467	0.16085699	0.015092867	0.016661715	0.016761942	0.017289134
i	0.00055965927	0.0016578953	0.12365903	0.21644256	0.45915544	0.0008886837	0.04930138	0.076034866	0.07230048
t	0.0037584146	0.0012471895	0.022442799	0.3173356	0.553408	0.02235165	0.02156108	0.02475853	0.033136673
t	0.0001697786	0.00032429493	0.0021864881	0.12508327	0.7918801	0.0005467803	0.005093555	0.05773232	0.016983453
à	3.9024904e-05	0.000341351	0.012616195	0.027671978	0.47450098	0.00073042896	0.023402812	0.17359006	0.28710717
a	0.0046911226	0.0049916673	0.11574956	0.056140892	0.50875473	0.091750875	0.031048808	0.10523319	0.081639156
n	8.8575005e-05	8.427016e-05	0.003359473	0.056577653	0.7326444	0.06333128	0.060835306	0.036762837	0.04631627
k	1.3151798e-05	7.623885e-05	0.00038651135	0.03164563	0.7768155	0.008292402	0.012276947	0.1178385	0.05265517
ò	0.00029108135	0.0006725312	0.008402397	0.010913027	0.22152595	0.021869764	0.027016303	0.37050316	0.33880582
r	0.0033993742	0.007913021	0.009714258	0.06115584	0.12468093	0.40728432	0.19868588	0.09787335	0.08929301
a	2.5979716e-05	8.010707e-05	0.00061225245	0.027697759	0.5766469	0.06588109	0.22506732	0.061421	0.0425675
e	0.0014837721	0.0016045413	0.0015096735	0.06429984	0.09304342	0.36104858	0.3821817	0.05938002	0.03544844
n	1.0283906e-05	5.5405335e-06	0.0005171588	0.0011582487	0.010511349	0.24008894	0.44582942	0.15704219	0.14483683
è	5.3534022e-06	9.806757e-07	0.000117548414	0.00092780194	0.005182954	0.015070049	0.04787036	0.86227095	0.06855399
p	5.2588925e-06	6.636638e-06	0.00038238775	0.0026037865	0.0028082824	0.001985667	0.118097685	0.5807388	0.2933715
r	6.275503e-05	2.3699668e-05	0.00029261527	0.0006918156	0.013852408	0.0148859	0.054446425	0.6148452	0.30089918
ò	2.4110807e-06	2.9022206e-06	0.00046961708	0.0005019614	0.0022256246	0.0006460888	0.048955146	0.6168087	0.33038756
n	5.4978016e-05	5.71597e-05	0.0010150459	0.0010430627	0.0019792852	0.0017543348	0.10243035	0.21065025	0.68101555
t	5.751489e-05	1.213611e-05	0.00036534778	0.00054752466	0.0031207758	0.0030166486	0.029539678	0.4125868	0.5507536
o	5.0371003e-05	3.8355047e-05	0.00022213954	0.0008528836	0.0046874727	0.0011862218	0.076140985	0.327106	0.5897156
</S>	0.00022603992	0.000109507346	0.0042877137	0.0020681634	0.006099471	0.0008626705	0.020975213	0.51180923	0.453562
