 	dovevo	comprare	il	pane	</S>
ì	0.28335798	0.16338922	0.16768748	0.22302029	0.16254501
c	0.9249244	0.023242185	0.005958809	0.009501912	0.03637279
h	0.8621077	0.036164694	0.012715889	0.017681504	0.071330205
a	0.90909475	0.033508245	0.009353619	0.015009171	0.033034183
n	0.74093294	0.2126914	0.016486265	0.014885126	0.015004279
a	0.6492097	0.1849406	0.047690764	0.054918803	0.06324022
a	0.20419459	0.71485615	0.03216404	0.024416732	0.024368474
f	0.008366494	0.8852135	0.051709797	0.026461985	0.028248286
o	0.00656716	0.7836137	0.09164439	0.05956646	0.05860826
r	0.083898254	0.5190257	0.21793506	0.09198246	0.08715855
à	0.0035449232	0.5343833	0.20247968	0.09124528	0.16834682
s	0.083953105	0.1578083	0.5780535	0.10193249	0.07825264
o	0.0036380438	0.54989517	0.32757416	0.052439343	0.06645334
t	0.0012840409	0.057802662	0.7416966	0.16559213	0.03362455
o	0.0010555569	0.014282112	0.686962	0.24024424	0.057456043
t	0.001158005	0.009358845	0.378001	0.4413639	0.17011818
s	0.0002487327	0.0012223686	0.23513187	0.68695056	0.07644643
o	0.00510437	0.033110913	0.16804112	0.23993252	0.5538111
m	0.0061727953	0.009268832	0.031088408	0.55025244	0.40321758
ì	0.001325875	0.00022531557	0.009637836	0.2640698	0.72474116
</S>	0.0012474981	0.00606102	0.11202023	0.64849746	0.23217376
