 	stava	ancora	cucinando	</S>
ì	0.6504737	0.05027763	0.16062742	0.13862118
s	0.9378421	0.01884904	0.013158239	0.03015068
t	0.82691216	0.06700677	0.03363421	0.07244682
i	0.42127824	0.16309807	0.13299853	0.28262514
g	0.484479	0.3820285	0.063450396	0.070042074
g	0.56283754	0.2483582	0.06389377	0.12491051
h	0.8533905	0.06294662	0.025675673	0.057987165
e	0.8994118	0.08583333	0.0042843805	0.010470458
a	0.07942318	0.8369535	0.044079617	0.039543558
n	0.020126274	0.92013806	0.02898193	0.030753711
k	0.010412673	0.9221832	0.014195009	0.053209174
ò	0.026649628	0.6525959	0.08953936	0.2312152
r	0.35864592	0.32429773	0.24898306	0.06807329
a	0.0071286242	0.9556636	0.028629921	0.008577824
m	0.025029462	0.23175304	0.6352371	0.10798039
a	0.022421727	0.20306419	0.4772479	0.29726624
r	0.010336809	0.047340494	0.8115641	0.1307586
è	0.0045597535	0.007889863	0.6691297	0.3184206
o	0.019555846	0.0075231805	0.7296722	0.2432487
n	0.0038884836	0.0010589467	0.17021692	0.8248356
t	0.0054780655	0.0018253453	0.25105542	0.74164116
a	0.18123028	0.018846978	0.37576547	0.42415726
</S>	0.04677252	0.013054455	0.39605317	0.54411983
