 	non	deve	parlare	davanti	a	Anna	di	questo	</S>
e	0.8912118	0.06644815	0.0059116706	0.02007975	0.003524626	0.0031272708	0.0032083043	0.0032138026	0.0032745665
n	0.61973655	0.2125016	0.039569594	0.020493472	0.021485789	0.021381821	0.021356774	0.021430468	0.022043897
è	0.07670017	0.47316474	0.15468001	0.00779743	0.054364417	0.050819304	0.060154337	0.0626848	0.059634708
n	0.025071042	0.77752805	0.087068364	0.0026995903	0.021202493	0.022840144	0.019058134	0.028798725	0.015733458
a	0.0062035103	0.70851827	0.15286385	0.0012113389	0.026116092	0.026329137	0.025110846	0.03281916	0.02082777
m	0.03503922	0.17256439	0.62498707	0.0897292	0.02053377	0.014316428	0.014177239	0.014352155	0.0143005075
i	0.0015489201	0.020296995	0.6543606	0.01152957	0.06426525	0.05530841	0.06397843	0.06612956	0.062582254
l	0.0137859015	0.039400253	0.2940152	0.4575693	0.06536013	0.03264308	0.031946752	0.032102272	0.033177193
ì	0.00086165994	0.0072020446	0.7013873	0.018053994	0.099268295	0.02695756	0.046510246	0.056007292	0.04375162
s	0.0027176244	0.06854663	0.059308138	0.19800648	0.40838692	0.057421293	0.038874686	0.1359695	0.030768793
i	0.000616456	0.007579867	0.35712218	0.03940415	0.4282719	0.04041122	0.032141615	0.07206787	0.022384724
m	0.0016331992	0.001935455	0.026706815	0.52071357	0.36656195	0.025906427	0.017141432	0.019375877	0.020025214
b	0.00056454644	0.0009777492	0.019917615	0.013223699	0.57929677	0.05485417	0.10675098	0.12790652	0.09650795
r	0.000326203	0.009982704	0.07778823	0.011633528	0.20359756	0.10519681	0.16817044	0.20015493	0.22314957
ò	0.00022159156	0.0013012306	0.018149272	0.04731294	0.81199086	0.06296156	0.020978402	0.024288435	0.012795631
s	0.00017403878	0.0026379111	0.014786898	0.026089054	0.6717791	0.19703114	0.036137868	0.037149943	0.014214037
t	2.3839086e-05	0.0004595154	0.002201407	0.038798638	0.6814226	0.20470375	0.03239205	0.029127792	0.0108704455
i	0.000282154	0.0005408767	0.005987686	0.015871793	0.24008617	0.3171968	0.034576498	0.29560885	0.089849204
n	0.00023928379	0.00046282643	0.001092497	0.006419571	0.082332864	0.7061768	0.109379105	0.016866457	0.07703052
A	8.894042e-05	0.0005705894	0.0037230225	0.00063659035	0.07984995	0.58142614	0.18568043	0.056769412	0.091254905
n	0.00011307411	0.00020346128	0.0013928668	0.01498732	0.03034222	0.34552005	0.39635745	0.18749812	0.02358552
n	0.00024997763	0.00060484785	0.0027125785	0.0005884629	0.029567463	0.33732313	0.47501025	0.12010749	0.033835772
a	0.00022192858	0.000378307	0.00074386585	0.0009342468	0.034210633	0.44925183	0.22912897	0.18751627	0.09761392
à	0.00022147244	0.0004540923	0.0019432468	0.0008074303	0.0067063244	0.15661943	0.26539898	0.30986053	0.25798848
t	0.00030238126	0.00029565278	0.00026668783	0.00018575983	0.002709651	0.30450955	0.34095666	0.20830396	0.14246972
s	0.0007822126	0.0011545568	0.002331486	0.0023879388	0.004275274	0.03447916	0.6683037	0.2127611	0.07352454
e	0.0005938874	0.0008982951	0.0014388198	0.0007209387	0.00529236	0.08314971	0.4888105	0.28305158	0.13604389
t	0.0003459788	0.003015385	0.0067724357	0.0010796516	0.017523043	0.062229186	0.36360264	0.30635434	0.23907728
ù	0.00013572042	0.00038147715	0.0007635694	0.0002580256	0.0005717477	0.0049985237	0.2541915	0.23290312	0.5057963
o	0.00055523537	0.00059689186	0.0016569218	0.0012376324	0.0010403742	0.009633999	0.14470914	0.6051403	0.23542951
</S>	0.0007872168	0.0022835555	0.0036474012	0.0011748612	0.0016999708	0.0047080577	0.13604784	0.1790174	0.6706337
