 	non	aveva	dove	aveva	per	stare	</S>
e	0.8581975	0.08293383	0.022967586	0.016440235	0.0034423494	0.009192249	0.0068261786
n	0.7434299	0.10366424	0.04385832	0.027797377	0.026978238	0.026553784	0.027718166
ì	0.0985684	0.38347012	0.199623	0.012501071	0.10180077	0.07774162	0.12629502
c	0.02025906	0.7397937	0.17210555	0.02433575	0.01220804	0.0049194386	0.026378546
h	0.03327137	0.12428489	0.2137341	0.013261208	0.08089359	0.028671945	0.50588286
e	0.014349939	0.3979262	0.4336799	0.052274864	0.034730755	0.016604735	0.050433498
p	0.013285549	0.08333865	0.686519	0.16380571	0.02541078	0.013636807	0.014003423
u	0.00021319035	0.008893981	0.77256775	0.029831499	0.07446287	0.032781363	0.081249416
ì	0.004019797	0.012056651	0.17938185	0.63987327	0.12115361	0.022626216	0.020888656
c	9.279299e-05	0.0065290863	0.16254902	0.636583	0.15112594	0.006865049	0.03625502
h	0.008323978	0.014102965	0.040680096	0.2055394	0.12834519	0.01616584	0.5868425
e	5.2753094e-05	0.007426942	0.1351291	0.4827094	0.32478082	0.011296225	0.0386048
n	0.0005196554	0.002638975	0.008815307	0.15304393	0.6226773	0.16326241	0.049042366
a	3.9097205e-05	0.00033785382	0.001390201	0.011620967	0.79234207	0.08222707	0.1120427
s	0.00052959606	0.007551556	0.0039256713	0.050789468	0.35406762	0.47863206	0.104504004
t	0.00041823514	0.007833167	0.0015497963	0.023357147	0.39983594	0.24774215	0.31926352
a	9.689541e-05	0.0017267257	0.007856676	0.0126666	0.4824238	0.15170601	0.34352332
t	2.3843393e-05	0.00076226564	0.0022407374	0.0070685847	0.04384856	0.8516837	0.094372384
ì	0.00018184345	0.000573358	0.0001779152	0.002883539	0.0066913767	0.16920468	0.8202873
</S>	0.0001980889	0.00021485252	0.00020360207	0.0012226359	0.012583519	0.114333004	0.8712444
