 	dovevo	comprare	pane	ogni	giorno	</S>
ì	0.26315036	0.15055946	0.1425442	0.14241746	0.15732364	0.14400487
c	0.86194247	0.02897606	0.009593364	0.030471297	0.03617445	0.032842398
h	0.74748236	0.040214725	0.01777386	0.056871004	0.073924735	0.06373329
a	0.8516375	0.038089473	0.017415846	0.030182278	0.03168204	0.03099284
n	0.6679137	0.27294365	0.017362453	0.014043631	0.013874039	0.0138624795
a	0.52276206	0.24269125	0.0559475	0.059215065	0.06008972	0.059294365
v	0.17113219	0.7289494	0.03644859	0.021639215	0.020951355	0.02087926
o	0.010737112	0.738442	0.06471619	0.06124312	0.06353242	0.061329246
r	0.10911786	0.54041624	0.19897895	0.0543848	0.04908381	0.048018362
à	0.0045716516	0.8158724	0.08763403	0.032739494	0.031012993	0.02816946
s	0.12861955	0.29257652	0.31453353	0.123755984	0.0900805	0.05043392
o	0.004377114	0.6862946	0.19744548	0.047439586	0.035933517	0.028509712
t	0.0013379974	0.11494032	0.68510854	0.1487011	0.029305438	0.020606576
s	0.0007905547	0.029036421	0.83204675	0.07409777	0.03437853	0.029649938
o	0.0038386572	0.056946114	0.54675907	0.14033864	0.12904945	0.12306807
m	0.0033347069	0.011219384	0.44957793	0.2785292	0.09045908	0.1668797
ì	0.0038535325	0.0037183694	0.10298205	0.28436103	0.35300192	0.25208315
k	0.0027939149	0.054809365	0.059467617	0.629502	0.20394158	0.04948547
u	0.0014848767	0.005060154	0.1017401	0.4846492	0.33233124	0.07473443
à	0.0005830313	0.010848717	0.118009865	0.4171693	0.335356	0.11803313
i	0.001424656	0.0008066039	0.008701389	0.11668504	0.65117425	0.22120804
m	0.0016759244	0.001205278	0.0061360933	0.08797196	0.3146983	0.58831245
è	0.005775086	0.0010951994	0.0035653133	0.02982915	0.60148406	0.3582512
r	0.00059881463	0.0011981605	0.009764857	0.031623915	0.7268729	0.22994126
i	0.00044126713	0.00020131434	0.0016470443	0.04733865	0.71102864	0.23934309
</S>	0.00066676503	0.00012139301	0.00037196703	0.0020601524	0.22417201	0.7726077
