 	l	ho	sentito	quando	veniva	</S>
t	0.93201494	0.020875057	0.004057326	0.016668668	0.01729522	0.009088833
o	0.7952534	0.06780532	0.025053028	0.03590054	0.037910905	0.038076885
n	0.23453583	0.44076136	0.22387113	0.034007963	0.033469047	0.033354696
ì	0.029496545	0.19665179	0.023900481	0.28065115	0.23174547	0.23755458
k	0.0063297604	0.76605046	0.13623595	0.039739188	0.025357753	0.026286805
u	0.02867581	0.6629507	0.0588971	0.116588175	0.06101	0.07187814
s	0.03361546	0.17036292	0.6505302	0.093137406	0.028109597	0.024244394
a	0.007875339	0.12044359	0.5136473	0.18296099	0.090703934	0.084368795
m	0.016191153	0.03162995	0.38863006	0.46138957	0.06456522	0.037593998
ò	0.0012222198	0.005209207	0.007430962	0.21178854	0.38534138	0.38900766
t	0.0035848334	0.033096347	0.009807547	0.88926846	0.045379564	0.018863203
t	0.0012409058	0.009904881	0.0063713314	0.7212593	0.1582614	0.10296217
e	0.007768162	0.029639503	0.011717732	0.5735001	0.23621355	0.14116096
è	0.0012210229	0.013423806	0.02052983	0.22989903	0.5307358	0.20419046
r	0.00044424715	0.0038873123	0.0031304602	0.11457176	0.7948004	0.08316582
k	0.00016890612	0.00026799724	5.7979865e-05	0.04963868	0.9042239	0.045642562
a	0.002718841	0.0037799857	0.0036275508	0.18160006	0.69992626	0.10834728
t	0.00096013845	0.0015159171	0.0006487573	0.04854686	0.29145426	0.6568741
o	0.0006048022	0.00051884516	2.1665648e-05	0.15837719	0.4949319	0.3455456
</S>	0.00408305	0.0007989323	0.0007120717	0.01838083	0.06970981	0.9063153
