 	dei	genitori	</S>
à	0.6803817	0.06804783	0.25157043
t	0.8756768	0.095083535	0.029239729
t	0.9430573	0.026580265	0.03036242
u	0.80542284	0.12497049	0.0696066
s	0.1423833	0.7079173	0.14969942
g	0.0030740732	0.9464231	0.0505028
e	0.025368145	0.88693833	0.08769355
n	0.002216111	0.9291049	0.06867888
i	0.00081408524	0.13608912	0.86309683
t	0.0041400134	0.47937638	0.5164836
ò	0.00053989794	0.043445516	0.9560146
r	0.008863913	0.14521013	0.845926
u	0.0018690851	0.012305964	0.98582494
</S>	0.04300602	0.013049271	0.9439447
