 	lui	sapeva	che	oggi	fa	freddo	e	non	ha	voluto	venire	</S>
c	0.89176977	0.015734144	0.010030243	0.009045549	0.008942578	0.008926665	0.008914581	0.008899906	0.008880745	0.008878137	0.010895573	0.009082181
ì	0.64328885	0.039127324	0.028966459	0.037797708	0.03482519	0.0373289	0.037081935	0.012181917	0.03770954	0.03511765	0.019398602	0.037176028
o	0.3500691	0.36467016	0.033353385	0.034583572	0.030343018	0.033487484	0.033134755	0.008523109	0.033926893	0.030612169	0.014099604	0.033196706
ì	0.2101909	0.6031548	0.056607068	0.015194319	0.0145949125	0.01451832	0.014510769	0.013653369	0.014514375	0.014475597	0.014079398	0.014506213
s	0.02383327	0.8429862	0.014730808	0.025731377	0.0080412645	0.018241432	0.016238581	0.0014968279	0.021378512	0.008645392	0.0020433192	0.016632956
s	0.22387844	0.5678569	0.030344816	0.031060934	0.01729793	0.026402455	0.025246521	0.0019323039	0.028509464	0.018070444	0.0036995844	0.025700212
e	0.027915934	0.5445655	0.018329235	0.10546651	0.020838218	0.06155166	0.051044952	0.0062223333	0.08173794	0.022285828	0.0071712355	0.05287066
r	0.0025288453	0.24640228	0.4216632	0.035031117	0.040724546	0.041782416	0.041629482	0.017019589	0.04209259	0.039972164	0.025217624	0.045936085
e	0.010510049	0.5577496	0.110966474	0.09401215	0.015782809	0.045168445	0.03789637	0.0027024164	0.06235399	0.016930997	0.00562063	0.040306065
k	0.0006128493	0.06442431	0.7534381	0.039331947	0.02402003	0.018497016	0.018350048	0.01181667	0.018200414	0.017825503	0.014537383	0.018945718
a	0.0008507404	0.01985965	0.6726427	0.07563818	0.03736982	0.035143927	0.036225945	0.0015135197	0.039086655	0.03338131	0.009568188	0.03871945
s	0.0003982855	0.00685787	0.46108663	0.31814408	0.08774048	0.020840922	0.019421572	0.015090787	0.017532375	0.017401729	0.016448068	0.019037211
ì	0.0014944299	0.004541392	0.2546785	0.39974204	0.124524295	0.027526055	0.034257047	0.0008514965	0.039518014	0.04970913	0.014550673	0.048606917
m	0.0007145871	0.0063885003	0.026796425	0.82805943	0.05662778	0.019985681	0.013914704	0.0015289792	0.018210372	0.0087259635	0.0054822434	0.013565403
b	0.0018938293	0.017190352	0.044806287	0.7768796	0.024228182	0.012842485	0.013926081	0.0009373244	0.03877611	0.024651531	0.0071625803	0.03670569
e	0.015061722	0.121949375	0.10538919	0.24732485	0.02735006	0.08320837	0.075637475	0.011591698	0.15719415	0.04292131	0.027601225	0.08477057
r	0.0005406306	0.004594657	0.028142657	0.13580795	0.57541573	0.060481723	0.05017324	0.029233016	0.029629072	0.028747287	0.026512185	0.03072192
i	0.00011160609	0.0020195518	0.006818237	0.2489822	0.445537	0.12645856	0.07219232	0.0030802535	0.043738708	0.01580379	0.0038954895	0.031362284
k	0.00020763854	0.00027708514	0.0021517822	0.016903069	0.45056242	0.26899734	0.16745065	0.038408983	0.01676803	0.013317053	0.011574101	0.01338186
à	0.0010828397	0.00059837505	0.0005075896	0.040929608	0.41960856	0.19503957	0.15147391	0.0009773503	0.05873806	0.057620965	0.0066290773	0.06679408
n	0.0012440206	0.0013703385	0.0020684039	0.055548925	0.089493856	0.4734048	0.28426474	0.0110116	0.036203533	0.015772106	0.012222277	0.017395396
n	0.0004203395	0.0006646837	0.0006292403	0.04108884	0.1813393	0.42824653	0.2843951	0.0023594992	0.036190584	0.008190797	0.0021840655	0.0142909475
i	0.00019037584	0.0010141382	0.0023740765	0.046770126	0.05938801	0.51831514	0.26081192	0.016659549	0.041975018	0.01560383	0.019292751	0.017605046
