 	è	facile	che	stanno	ancora	svegli	</S>
è	0.9499681	0.016804721	0.0074807582	0.0065648765	0.005216326	0.007888046	0.0060770735
f	0.7639817	0.15677847	0.024916595	0.029558282	0.00266741	0.0016001407	0.020497449
à	0.48960304	0.3196128	0.06409504	0.063141674	0.008599867	0.0022981933	0.052649345
c	0.1261481	0.7889105	0.037884183	0.024523644	0.002584564	0.0012587309	0.018690307
i	0.20717154	0.6286628	0.04996725	0.07260265	0.006699977	0.004067031	0.030828645
l	0.056821123	0.4242505	0.39732555	0.03627427	0.031763043	0.021745227	0.031820223
e	0.052103896	0.077968635	0.6299495	0.1134901	0.024345607	0.005259975	0.096882366
k	0.0045240675	0.0138463	0.8910822	0.039457295	0.021296263	0.010010067	0.01978379
a	0.0015849037	0.004067657	0.8498886	0.07307377	0.01649879	0.0012511367	0.05363519
s	0.007692569	0.007392413	0.6989821	0.1630313	0.055851508	0.024408653	0.042641386
t	0.0002862779	0.0019135203	0.8184228	0.1395705	0.010131382	0.0002181882	0.029457342
è	0.0033025718	0.0029787007	0.69135845	0.17956921	0.014653742	0.003933901	0.10420343
o	0.0030027064	0.02346383	0.16925159	0.7564452	0.021280548	0.008145989	0.018410124
n	0.0009618559	0.0035900637	0.14052336	0.6717662	0.13219072	0.0033597695	0.047608014
e	0.0002317833	0.0015355331	0.03483405	0.8964629	0.025980152	0.00025259805	0.040702928
a	0.0030785033	0.0004460355	0.06199246	0.39932406	0.49003538	0.017646296	0.027477242
n	0.00048989174	0.0003963889	0.010547734	0.21194898	0.6780403	0.007155266	0.09142136
k	0.0029317092	0.002794189	0.0012496184	0.33339015	0.6098049	0.0008359763	0.04899342
ò	0.0022947153	0.0041493955	0.01489215	0.3400128	0.32498035	0.0026303472	0.3110403
r	0.0036733758	0.0065542045	0.05663747	0.27933228	0.41791204	0.1645514	0.071339175
a	5.4068794e-05	0.0050147423	0.0010828341	0.1872202	0.78024757	0.011648155	0.014732369
a	0.002096852	0.0004982753	0.026407612	0.098629415	0.5794229	0.114759125	0.1781858
t	0.0015622398	0.0006786856	0.004846535	0.010383671	0.1978092	0.17283008	0.6118896
s	0.015176678	0.0060745073	0.0013031361	0.010493958	0.15732674	0.33600056	0.4736244
ù	0.0062590353	0.006913574	0.001964019	0.015592977	0.120037645	0.038252007	0.81098074
n	0.0009827208	0.014480622	0.0017464252	0.026266312	0.051869016	0.71939915	0.18525572
n	0.0005953368	0.015232015	0.00032588476	0.005097491	0.12238148	0.76307756	0.09329023
i	0.0027220906	0.018258968	0.0002578882	0.021454595	0.089320645	0.5106854	0.3573004
t	0.028267719	0.054334186	0.01935238	0.14808731	0.010829535	0.2756845	0.46344435
i	0.0019398318	0.0074029714	0.00032575632	0.0031569807	0.0063407198	0.85962784	0.1212059
</S>	0.00073003804	0.0031892755	0.0021437579	0.0023218754	0.0072070793	0.044731844	0.9396761
