 	la	donna	vuole	pulire	la	casa	ogni	giorno	per	stare	pulita	</S>
e	0.86185914	0.017087199	0.012854534	0.011868168	0.012000498	0.011814516	0.011832912	0.011835604	0.011798775	0.012285281	0.012457165	0.012306177
j	0.6548257	0.03699998	0.03269052	0.030792356	0.030546922	0.030753192	0.030628476	0.030736515	0.030262033	0.029999109	0.030535067	0.031230155
i	0.6986119	0.026956007	0.029572267	0.027644124	0.0272203	0.027953172	0.027600883	0.02787797	0.026495634	0.025456773	0.027293688	0.027317183
n	0.5663704	0.09224085	0.039377358	0.034194864	0.03351654	0.033544272	0.033502746	0.03353251	0.033394072	0.033316147	0.03347128	0.033539005
è	0.05644241	0.38313818	0.075769715	0.05684597	0.050867498	0.07654763	0.061111208	0.0734506	0.03586176	0.024805054	0.051558483	0.053601623
k	0.078971975	0.7370911	0.06718968	0.012721183	0.010270003	0.025888424	0.013935354	0.022966184	0.00575046	0.0041975463	0.009940894	0.0110771535
a	0.5577658	0.21931717	0.08485333	0.012838329	0.010307174	0.037771385	0.014888775	0.03078885	0.005846118	0.004480485	0.009894945	0.011247716
t	0.011145715	0.2925204	0.4752034	0.06074121	0.02164422	0.020056527	0.019898225	0.019869236	0.019717565	0.019626936	0.019774105	0.019802412
è	0.027061833	0.11700159	0.49602282	0.073292404	0.03751773	0.037507016	0.03647831	0.037042756	0.034120366	0.032200977	0.035861522	0.03589257
l	0.013184336	0.09926624	0.7270525	0.04879868	0.01227512	0.027483743	0.014795603	0.02403184	0.006116227	0.004463567	0.010757063	0.011775122
i	0.013946419	0.05277222	0.78415066	0.051176045	0.010298141	0.026396321	0.012438892	0.022163404	0.0049000443	0.0035989664	0.008573195	0.009585609
n	0.0003256177	0.0056889644	0.5469618	0.35927597	0.02720394	0.01073049	0.00877416	0.0083307745	0.008179114	0.008071765	0.008214048	0.008243276
a	0.0001964538	0.003245489	0.5107936	0.3551291	0.027522394	0.01714861	0.015238187	0.015152125	0.013716691	0.012532581	0.0147978095	0.014526905
p	0.00046784538	0.0008712108	0.26801407	0.58413935	0.057383414	0.01654905	0.012822221	0.011829765	0.011575024	0.011384553	0.011598264	0.013365215
u	0.00029236975	0.001026657	0.12099007	0.6085199	0.06392645	0.041970607	0.032576196	0.035698947	0.021820825	0.015512514	0.028676342	0.028989166
l	0.0005016956	0.000542519	0.062490843	0.6461919	0.17566541	0.02868616	0.01702771	0.013829564	0.013574705	0.0132092815	0.01304365	0.015236624
i	0.00010163474	0.0009835326	0.12567039	0.5373728	0.1856877	0.050902855	0.02380306	0.026356814	0.010125983	0.004734056	0.017576631	0.016684458
z	0.00031877408	8.3871804e-05	0.01435856	0.3905049	0.43216392	0.06763442	0.026447289	0.013674279	0.013004268	0.011945206	0.011565427	0.018299125
z	0.0016106565	0.0013130021	0.057145268	0.47586295	0.22863406	0.0858	0.04169507	0.040213965	0.011770576	0.0032489584	0.03395423	0.018751204
è	0.00013536506	0.00095289864	0.022622004	0.49355912	0.1986894	0.075509004	0.036456257	0.048772197	0.01564613	0.01018291	0.02775382	0.0697209
s	0.001746275	0.0005313046	0.06407414	0.15034589	0.31223667	0.29819584	0.047149975	0.05989355	0.013609417	0.011318407	0.02330684	0.017591657
s	0.00010965859	0.0003905641	0.02451925	0.2234552	0.29262713	0.38428023	0.024964264	0.025003102	0.0059675807	0.0035063084	0.008190774	0.006985927
i	0.0006927046	0.0007486181	0.027869426	0.3056958	0.28736576	0.22909756	0.032208335	0.056689963	0.013225231	0.011381577	0.016337669	0.018687304
o	0.00038970078	0.00012267818	0.0019226532	0.047304362	0.3920522	0.27211612	0.12214183	0.038274594	0.028910026	0.020882104	0.023886641	0.051997133
s	0.00017498645	0.00017940789	0.0015079792	0.043577902	0.2663466	0.34276065	0.17207856	0.04982237	0.031042503	0.016846143	0.02425833	0.051404517
p	0.0004643105	0.0006518687	0.00087405083	0.038100455	0.27650735	0.39450195	0.1665469	0.06367413	0.014279273	0.002632723	0.024299987	0.017466983
i	0.0006418881	0.00092174276	0.0073984005	0.06530386	0.14866108	0.19291513	0.07596232	0.21258777	0.040347014	0.023948284	0.05269439	0.17861818
t	0.000109915505	8.1024584e-05	0.0012453021	0.03855324	0.13168731	0.19924377	0.41258237	0.089061886	0.06038508	0.021814294	0.018110622	0.02712529
i	0.00044777468	0.0005217181	0.00046774605	0.0061550625	0.026765186	0.5495991	0.17423202	0.19680879	0.013382673	0.0017369032	0.017756276	0.012126829
k	0.0001471871	6.8793925e-05	0.00033737713	0.016600821	0.0735982	0.07033462	0.4275706	0.1957894	0.15414903	0.027786467	0.013920163	0.0196973
u	0.0009354038	0.0003575951	0.00050647155	0.008092256	0.006975793	0.4127331	0.20108002	0.29968825	0.019484175	0.0034208861	0.020925907	0.025800057
à	0.00032216354	8.1439306e-05	0.00016071863	0.004087823	0.027604235	0.040118907	0.22592829	0.23245233	0.39155176	0.048172813	0.015040476	0.014479134
i	0.0034010126	0.00018734849	0.000354678	0.004942629	0.024914991	0.20586704	0.2018282	0.39815846	0.07775755	0.013649922	0.035621323	0.033316843
m	0.0012250707	0.00017240862	0.00018539597	0.0025669893	0.015860682	0.03645249	0.230804	0.26307774	0.24062082	0.07893466	0.06048144	0.069618285
è	0.00084283185	0.0008382671	0.0006330523	0.004211757	0.0033827284	0.22575107	0.1746556	0.43568203	0.02628963	0.008693307	0.02793123	0.091088474
r	0.0036263904	0.0002833362	0.00024182184	0.0014130251	0.013385154	0.04692568	0.0762936	0.4729166	0.22574225	0.061677374	0.07386641	0.02362836
i	0.0005045133	0.00021546497	9.176354e-05	0.0013820712	0.008775578	0.068898685	0.110904716	0.33966056	0.18284585	0.028458046	0.22171707	0.036545698
n	0.002045307	0.00022216095	0.00015703696	0.00071774644	0.0042061536	0.0078049167	0.03182207	0.16366714	0.31203023	0.14152783	0.25724876	0.0785506
a	0.0017677998	0.00055596244	0.00036383845	0.0013434644	0.0056826756	0.037978116	0.11155894	0.368869	0.13199928	0.040421594	0.21704449	0.08241482
s	0.0035862103	0.00025417103	0.00019514369	0.00055042567	0.001126468	0.0012903981	0.0058521256	0.032426957	0.3435902	0.20617838	0.2270606	0.17788896
t	0.0025783272	0.00065305375	0.00019008147	0.0008262666	0.0012170423	0.006318544	0.047870986	0.24038322	0.10245266	0.04419255	0.40015936	0.15315789
a	0.0052103354	0.0012231148	0.0011411648	0.0040303767	0.0071867867	0.008864227	0.031716388	0.14473052	0.46424246	0.055411402	0.13898139	0.13726181
s	0.00292755	0.0013546301	0.0006245005	0.000868966	0.0024678565	0.0023309267	0.012966891	0.11549611	0.55942374	0.05219428	0.20049246	0.04885204
