 	la	pasta	vuole	sale	</S>
i	0.88232344	0.05641535	0.01366824	0.031863984	0.015728898
p	0.4356551	0.47970808	0.02967402	0.027441483	0.027521327
à	0.3337883	0.37986368	0.08784467	0.093884565	0.1046188
s	0.0636688	0.7686887	0.07443204	0.04624592	0.046964567
t	0.100929305	0.82469666	0.04585404	0.0141617535	0.014358158
a	0.030042045	0.733013	0.10875552	0.060090367	0.0680991
t	0.009189259	0.07111934	0.7965256	0.07259923	0.050566487
è	0.0052485564	0.01772109	0.5907713	0.1945125	0.19174647
l	0.0069739753	0.061901316	0.86707777	0.039195117	0.024851855
i	0.0009444698	0.007448428	0.87461424	0.08278833	0.034204565
à	0.0026599555	0.0015344975	0.083858505	0.81203336	0.09991367
l	0.00013889521	0.00086984085	0.0651556	0.8763121	0.05752363
a	1.5370559e-05	0.0008711126	0.020803113	0.9423129	0.035997514
</S>	0.001255992	0.0016466109	0.005705503	0.5036138	0.48777807
