 	io	non	ho	niente	da	mangiare	</S>
e	0.9075945	0.0365978	0.01207365	0.007902979	0.0061959857	0.019431025	0.010203984
v	0.48591673	0.2696797	0.07292961	0.042302184	0.042819966	0.04290718	0.043444682
ò	0.11460402	0.019199325	0.23601581	0.1593342	0.15110578	0.16031481	0.15942612
e	0.47106537	0.14374372	0.23596568	0.07203111	0.022506451	0.027878275	0.026809497
n	0.0339346	0.4415108	0.45191884	0.031577323	0.013824301	0.0136284735	0.013605764
è	0.022235563	0.03571858	0.7423357	0.079652935	0.034702405	0.048410818	0.036944
c	0.0053906064	0.019612988	0.38594946	0.54942775	0.012998069	0.016863778	0.009757418
h	0.004543772	0.007876311	0.26733643	0.66374075	0.013676533	0.023885189	0.018940998
o	0.0012032571	0.017212978	0.4769243	0.4502083	0.01843621	0.018457644	0.017557396
t	0.008551056	0.105324894	0.1025276	0.25507835	0.349513	0.091045104	0.08795993
ì	0.0021206043	0.0048521766	0.062057078	0.13060753	0.37764457	0.22379138	0.19892667
p	0.00051313016	0.0011628254	0.051424924	0.6501983	0.1991566	0.061580427	0.03596383
o	0.014606052	0.014543237	0.034497663	0.4214082	0.22889934	0.17562705	0.1104184
t	0.0014749065	0.0055891303	0.004272079	0.0017989426	0.86911505	0.07629774	0.041452214
i	0.00049490685	7.59879e-05	0.0007069169	0.0044144806	0.6825213	0.19112608	0.120660275
n	0.00018443639	0.0015069627	0.0016132973	0.0008585485	0.46914116	0.3597903	0.16690524
a	0.0007619278	6.182537e-05	0.00023633784	0.006172039	0.1798371	0.6658569	0.14707382
f	0.0003069144	0.0008739467	0.00097178476	0.00050181156	0.091873705	0.7634853	0.1419865
à	0.001758002	9.270626e-05	0.0003521949	0.0072028358	0.027784176	0.8212451	0.14156501
o	0.00023107172	8.311881e-05	0.0006288658	0.0021051161	0.029455142	0.81491333	0.15258329
</S>	0.0004888366	4.2438893e-05	0.00033973934	0.0017556814	0.013271754	0.47701898	0.5070826
