 	hai	già	mangiato	</S>
ì	0.7513136	0.103232205	0.07957533	0.065878846
s	0.84578747	0.10095645	0.034881797	0.01837432
e	0.67765963	0.25160545	0.0434607	0.027274227
g	0.17256698	0.6968426	0.06921042	0.06138003
i	0.061792202	0.5853203	0.2060295	0.14685802
à	0.07620619	0.464735	0.32226023	0.13679862
f	0.009935929	0.14284213	0.79627043	0.050951485
a	0.0016296793	0.10460135	0.8697577	0.02401123
m	0.035526406	0.082091406	0.6111649	0.27121717
è	0.003090805	0.042213805	0.7350339	0.21966141
n	0.0649599	0.09051783	0.72643846	0.118083745
a	0.000936191	0.016603084	0.8327315	0.1497292
</S>	0.0018976628	0.005067311	0.10546629	0.8875687
