 	l	ho	sentito	che	veniva	</S>
o	0.9069382	0.016832681	0.00525222	0.013630735	0.038034987	0.019311072
n	0.32156965	0.47000626	0.11725519	0.035593286	0.027842388	0.027733073
ì	0.050219648	0.15951963	0.04837224	0.20986778	0.30671844	0.22530231
k	0.010120772	0.70516586	0.13659124	0.05342089	0.061074004	0.033627305
u	0.044584442	0.45020264	0.040890556	0.13269411	0.210382	0.12124625
s	0.025013082	0.104475915	0.43958282	0.38487074	0.029293915	0.016763465
a	0.0015512938	0.015899606	0.115788445	0.7585952	0.070705526	0.037459843
k	0.013618963	0.021336308	0.24371065	0.5097148	0.17810676	0.03351252
a	0.00031809602	0.0013166099	0.007048606	0.3260032	0.54241556	0.122897945
è	0.025189593	0.015485169	0.11525169	0.10383641	0.6441378	0.09609934
r	0.00012599773	0.0007486857	0.001319112	0.010537987	0.9270639	0.06020443
k	2.8297365e-05	3.9650113e-05	4.4350367e-05	0.00061544013	0.9753161	0.023956152
a	0.010657349	0.010142219	0.0067906296	0.077679574	0.73430735	0.1604229
t	0.00051028345	0.00067720975	0.0013508694	0.005012392	0.039200652	0.9532486
o	0.00038052452	0.00028446747	5.655356e-05	0.002253149	0.21972665	0.7772987
</S>	0.0049510715	0.0009535902	0.0023781103	0.0038313575	0.053922355	0.9339635
