 	mia	figlia	vuole	andare	</S>
i	0.798269	0.033205427	0.04341802	0.07139366	0.053713933
k	0.68389624	0.23845148	0.025939893	0.025808085	0.025904201
i	0.7198118	0.1406521	0.047821157	0.04390521	0.047809724
a	0.18014158	0.70049626	0.04013232	0.03965323	0.03957655
t	0.18272838	0.43167615	0.13768959	0.13206168	0.11584413
è	0.08184203	0.25783172	0.1791977	0.31129703	0.16983157
r	0.15594465	0.13276112	0.2813904	0.17915365	0.25075018
a	0.18760064	0.7133541	0.044210438	0.026197009	0.02863771
m	0.12769812	0.38223365	0.24326158	0.12801169	0.118795
u	0.052019868	0.3678699	0.20386136	0.14009944	0.23614946
i	0.058171134	0.2242539	0.37671053	0.19020967	0.15065484
t	0.0018628581	0.015975803	0.6837112	0.2454777	0.052972414
è	0.0005587399	0.004221119	0.5291444	0.3865452	0.079530545
l	0.014506853	0.0125301145	0.6538608	0.23560086	0.0835014
i	0.0010678485	0.016640656	0.745035	0.17403479	0.0632218
n	0.0005444601	0.002069686	0.06373994	0.84179866	0.091847226
a	0.0002477129	0.00014575585	0.05793955	0.8560068	0.08566021
p	0.0005883376	0.00094204425	0.01042899	0.788432	0.19960865
à	0.00056773575	0.00023514753	0.019991936	0.43267635	0.54652876
i	0.0035573523	0.009486492	0.03249721	0.45255232	0.50190663
</S>	0.0015356145	9.797738e-05	0.0038431375	0.11247394	0.88204926
