 	le	melanzane	vogliono	girate	</S>
e	0.6602594	0.10272377	0.059789915	0.11386745	0.06335949
m	0.7781169	0.07449856	0.050145905	0.04693142	0.050307248
a	0.932366	0.013054652	0.02298223	0.0060318494	0.02556527
r	0.43603134	0.22755334	0.11320862	0.11104337	0.11216337
a	0.8535629	0.048654415	0.03855981	0.0061841677	0.053038754
n	0.057406243	0.8218322	0.043913525	0.038276695	0.03857135
g	0.17629321	0.6644935	0.06929327	0.012839997	0.077080004
i	0.37603667	0.15880199	0.16867536	0.028460016	0.2680259
à	0.029336432	0.6988113	0.13037726	0.07163354	0.06984147
n	0.028437939	0.4547527	0.3808722	0.015624111	0.120312996
e	0.030318554	0.4119856	0.3838509	0.017729882	0.156115
e	0.008334975	0.20518379	0.6674511	0.08471904	0.034311168
t	0.0013085485	0.015316618	0.8188907	0.12509327	0.039390847
è	0.00048828364	0.0109222075	0.906697	0.024207175	0.05768532
l	0.03678125	0.14934963	0.62414426	0.07621712	0.113507695
u	0.0022090708	0.003390928	0.92451376	0.008663957	0.06122225
n	0.00058884005	0.0030598987	0.12086708	0.8048693	0.070614845
v	0.0015666736	0.0016150692	0.10994599	0.5653957	0.32147652
o	0.067422606	0.022790447	0.4003549	0.19900195	0.3104301
t	0.002522315	0.0072777118	0.04673411	0.25476322	0.68870264
i	0.00094762846	0.0003324946	0.0037817562	0.33753425	0.6574039
m	0.0023912317	0.0042249896	0.010151489	0.2157663	0.76746595
m	0.00091168884	0.0014330238	0.005302146	0.21815039	0.77420276
è	0.013924046	0.0012351619	0.05810794	0.03899106	0.8877418
n	0.00062556757	0.0015441104	0.01713687	0.08637345	0.89432
e	0.004627399	0.013455952	0.040011927	0.56562126	0.37628344
</S>	0.0020411825	0.0004922084	0.023333449	0.016308542	0.95782465
