 	l	ho	sentito	che	viene	</S>
o	0.9024118	0.016518353	0.0050017056	0.011964086	0.04226562	0.021838464
n	0.31221285	0.47468847	0.12169662	0.036330987	0.027579714	0.027491495
ì	0.05322514	0.16289413	0.04836862	0.19125342	0.30890808	0.23535065
k	0.010096827	0.695658	0.14300622	0.053310335	0.05402279	0.043905813
u	0.046276674	0.44360694	0.043832544	0.14361112	0.09970874	0.22296399
s	0.023613827	0.096399546	0.4011823	0.43117154	0.035385232	0.012247542
a	0.0011992295	0.011004124	0.083413206	0.7710188	0.09093207	0.04243256
n	0.010374961	0.016383184	0.20580286	0.44582546	0.29467073	0.026942817
a	0.00030227817	0.0008199074	0.0060732523	0.2205018	0.6689711	0.10333165
r	0.0076651936	0.0060680145	0.044521168	0.049984295	0.79538167	0.09637962
t	0.00011959853	0.00020905213	0.0003207137	0.003455122	0.8562808	0.13961475
i	0.0014951291	0.026426228	0.0058791167	0.16343744	0.4079667	0.39479542
</S>	0.0007072264	0.0012314696	0.004419784	0.009651459	0.069665164	0.9143249
