 	avete	cucinato	le	verdure	</S>
i	0.708297832	0.09493754741	0.0528081931203	0.0491927071426	0.0947637605692
m	0.579999359333	0.184195409337	0.110134497697	0.0489435645103	0.0767271626274
a	0.435375437111	0.289697503112	0.147729716952	0.0471688545593	0.080028428039
r	0.31079015637	0.374157465037	0.142952279104	0.0435103746846	0.128589679412
è	0.19008690059	0.467590750079	0.156323040835	0.0369087233697	0.14909052279
t	0.161905451997	0.511762018426	0.165946003278	0.0381357224199	0.122250679442
s	0.128445081999	0.483365138009	0.204396574759	0.0456382668086	0.138154811402
a	0.0762377682997	0.33391756287	0.334613301786	0.0487161148029	0.206515176632
t	0.0551745501066	0.17152580729	0.469226474595	0.0820855830876	0.22198749866
o	0.0449362492755	0.0988060553633	0.502875006865	0.132368733743	0.221013863747
l	0.0304463535185	0.0561842197011	0.493977412622	0.206190302228	0.213201655142
a	0.0246084079582	0.038794786945	0.436515810341	0.295551442676	0.204529501514
l	0.0222411265027	0.0319960688797	0.38284235258	0.348440997225	0.214479466571
à	0.0178689641922	0.0408647297666	0.324388947393	0.399500663008	0.217376756484
c	0.0200897733387	0.0436011503022	0.268002143931	0.442599951003	0.225707025721
h	0.0277853929936	0.0434598206874	0.326830036244	0.398468279634	0.203456496574
a	0.0319850394052	0.0439711512758	0.314228995748	0.354745515445	0.255069283191
n	0.0262998042597	0.0287917296786	0.222035089183	0.419634003815	0.303239365397
a	0.0207554554866	0.0231769194529	0.184394128661	0.389075841672	0.382597665466
</S>	0.0196884627583	0.0235885749864	0.165449417331	0.304594407436	0.486679127733
