 	qui	dentro	deve	mettere	un	tappeto	</S>
c	0.691422203	0.08464908613	0.0479631949103	0.0410756806723	0.0393468638262	0.0453278545168	0.0502151628104
i	0.597741428333	0.142937736537	0.0551861499215	0.0452562607986	0.0455914074656	0.0548403189242	0.0584467246985
ù	0.407389021644	0.333337432846	0.0594503062716	0.0432390600204	0.0447656684068	0.055413521953	0.0564049445172
m	0.238636070081	0.437362888949	0.0960987277572	0.0641902116391	0.0428501837296	0.0631961372154	0.0576657319749
è	0.161761246227	0.480632304983	0.122474074252	0.0730439253994	0.041225536351	0.0619767823849	0.0588861103722
s	0.107955223809	0.500009683661	0.159450072951	0.0830121918629	0.0345827312752	0.0516257269908	0.0633643358097
a	0.0882138409363	0.371012351887	0.275611813317	0.111034245292	0.0367840678193	0.0478947773858	0.0694489151588
è	0.0742041742161	0.236122379362	0.379276136106	0.155322420031	0.0387629536963	0.0359283656844	0.0803835943472
n	0.0572273719927	0.142874897787	0.407621784035	0.22178439401	0.0394476707785	0.0349182243184	0.0961256033344
a	0.0562340013609	0.101661535524	0.351147698412	0.30514944407	0.0562832804742	0.0337748761503	0.0957491295248
v	0.0503594149203	0.0726241353767	0.232234861537	0.397933011357	0.106542158025	0.0338726009654	0.106433819209
à	0.0375076690494	0.0510292082122	0.167714493312	0.421246562452	0.173295330608	0.0363341209685	0.112872660683
l	0.0256574585206	0.0391750528241	0.154009881104	0.417667218151	0.188118068203	0.0391476814162	0.13622472156
i	0.0245644953077	0.035115570688	0.112043027581	0.346606427917	0.261521672401	0.0503022919854	0.169846537579
è	0.0236365717919	0.0313754096827	0.0736164921403	0.242639374506	0.4000631498	0.0587054961285	0.16996345384
n	0.025860512378	0.0315090975742	0.0609968983401	0.199925090435	0.444146477667	0.0647098004695	0.17285207142
a	0.0283853889407	0.0316309013981	0.0493980571694	0.136205862945	0.416642013622	0.14800713205	0.189730675167
t	0.0197765662376	0.0218335489794	0.0303473841725	0.0838527417817	0.408113507874	0.273259184883	0.162817115122
a	0.0152012705019	0.0164379353691	0.0212164977442	0.0630315450006	0.335024883691	0.362670437828	0.186417432774
p	0.0116758864033	0.0131770897124	0.0161115905614	0.0419535835402	0.205351054764	0.451005915009	0.260724842591
p	0.0104747057104	0.0169248375295	0.0115233090671	0.0477344115801	0.145116324708	0.483017624203	0.28520869893
è	0.0101451203337	0.0191529224778	0.00934750206637	0.0466060689467	0.109980031816	0.504662616068	0.300105721777
t	0.0115110218341	0.0180152611439	0.0132675467595	0.0387249258022	0.0979726469987	0.543718955889	0.276789733992
o	0.0129307781227	0.0167765894853	0.0146250532465	0.0322125221341	0.0782635863729	0.50752093463	0.337670606664
</S>	0.0102490957254	0.0122721338657	0.0114431643233	0.0212507457671	0.0525834430464	0.466779843315	0.425421601332
