 	che	consuma	poco	benzina	</S>
n	0.768512666	0.07626667935	0.048403983804	0.0481835513635	0.0586330246292
a	0.647194424267	0.176810339183	0.0531560841467	0.0542488842095	0.0685901559574
k	0.439175701689	0.319001465994	0.0990436931022	0.054950335042	0.0878287269706
o	0.302754740563	0.428015443998	0.131420030674	0.0485358129508	0.0892739932409
n	0.211549627588	0.477894493999	0.184562375218	0.0415884102131	0.0844051872577
s	0.173654203596	0.478015098666	0.208241537819	0.0387178463357	0.101371377415
u	0.162570381132	0.448657988889	0.22179661414	0.0417893281119	0.125185708126
m	0.0972532918373	0.397315048296	0.309879474913	0.0527491671	0.142802952901
è	0.0654706980724	0.321350190899	0.390383755838	0.0574223782293	0.165372866794
t	0.0588209566241	0.231809871366	0.463716049479	0.0481146357631	0.197538396251
s	0.059823276008	0.163646404522	0.492078889826	0.057918700165	0.226532694801
i	0.0529247537293	0.102267085184	0.455054333322	0.113387345879	0.276366542824
a	0.0350721706898	0.0600077816273	0.386824824914	0.236239198826	0.281856078675
l	0.0233581619099	0.0543885926184	0.295170364465	0.313519068142	0.313563785692
ì	0.0187487133513	0.0541340916261	0.185393775302	0.393607306581	0.348116055231
o	0.0138978719364	0.0331893649474	0.127052319061	0.471935393527	0.353924983944
b	0.0100323298301	0.0307322899478	0.109442097834	0.410482523842	0.439310678181
e	0.00974645057203	0.0298458774549	0.0841104293847	0.383094740614	0.49320252806
n	0.00909984943268	0.0242270613373	0.0600338068982	0.395775804871	0.510863556687
z	0.0144462478242	0.0306052674464	0.0576654796427	0.35478606469	0.542497002229
ì	0.0182506664927	0.0289398423628	0.0599254180276	0.389056145963	0.50382795141
n	0.0162442982338	0.0260235683143	0.0611003181025	0.467399209321	0.429232592137
a	0.0165680291655	0.0248639501181	0.0523663151275	0.386852682574	0.519349035712
</S>	0.0160652487168	0.020051928069	0.0415900361637	0.288404221487	0.633888589856
