 	oggi	io	non	ho	cosa	da	fare	</S>
s	0.6733665915	0.072399785594	0.0418630068886	0.0398314348258	0.0378372608703	0.0427448278425	0.0448867410272	0.0470704033299
ì	0.678136848833	0.075137952158	0.0389528702502	0.0390190714495	0.0371155934528	0.0425957928854	0.0438469516578	0.0451949829414
m	0.644888924944	0.113179359613	0.0452150448301	0.0406988527387	0.0348564231022	0.0350255182492	0.0359124837457	0.0502233766342
m	0.504017822181	0.194150100431	0.0572041893308	0.0558348018089	0.0410975626379	0.0388306839172	0.0371754788015	0.0716892197139
e	0.351351267527	0.317570074877	0.0758084265837	0.0614836792297	0.0438649202899	0.0423574612832	0.0398452493724	0.0677188543472
r	0.232231669709	0.432666992292	0.0994187813479	0.0575943559924	0.0424517594863	0.0387780725479	0.0401255465869	0.0567328341519
i	0.154593624603	0.450160294764	0.163170831983	0.0584851456971	0.0402241917744	0.0332759003925	0.0371070338225	0.0629829513929
e	0.106365931084	0.371949841988	0.256272082328	0.078762486452	0.0488418160427	0.0462777221569	0.0322762674627	0.0592538427367
v	0.0802694970107	0.244281438663	0.238774994509	0.158508769884	0.0829396554622	0.0772379611152	0.0421996634382	0.075787956472
ò	0.0660742143502	0.180134977154	0.213111369836	0.240417837628	0.0970649989841	0.0718161873471	0.044710766051	0.0866696136296
e	0.0486868162207	0.144453638518	0.255772908145	0.251962295943	0.123725000391	0.0556123915577	0.038691473151	0.0810955160438
n	0.0364925719329	0.088771368706	0.223971929848	0.267774397314	0.171491782964	0.0700306852526	0.043878439861	0.0975888917579
è	0.0464757636796	0.075054128702	0.169141403216	0.272788071371	0.192591192855	0.0927307079509	0.0423411723115	0.1088776446
c	0.0512112375732	0.0691826408073	0.129271323585	0.21796387399	0.207807488485	0.130926549584	0.0740608012947	0.119576151562
h	0.0412174142311	0.0551316597891	0.082753296175	0.175027624863	0.241069101095	0.171799101395	0.0996995106379	0.133302369141
o	0.0287478693504	0.0374490286364	0.052230617845	0.129982489288	0.228715156698	0.232461544932	0.118969243784	0.171444175274
t	0.0167046822261	0.0204288355401	0.030339296161	0.083016512716	0.187466212566	0.303689120311	0.159614311873	0.198741118291
i	0.013252396974	0.0153695215256	0.0217404024317	0.0569072945967	0.148223663355	0.32777992477	0.212961336658	0.20376548523
k	0.011625775854	0.0128835300101	0.0180650748958	0.0378645452882	0.102581793025	0.284985705523	0.331624429853	0.20036917641
à	0.0106891216827	0.011603982904	0.0179318373626	0.0294427608541	0.0798411882417	0.228073429841	0.439330720151	0.183086950003
m	0.0105299442567	0.0123923979412	0.0218086385606	0.025422120098	0.0622762638072	0.210774234614	0.484620165584	0.172176131001
i	0.0102551290118	0.0121580650498	0.0214524239297	0.021103027264	0.0464656273111	0.160836657405	0.492149045195	0.235579889667
</S>	0.0107983630085	0.0116751108342	0.0209506381156	0.016713905969	0.0338602594686	0.113221321002	0.486220210597	0.306560085834
