 	mia	figlia	vuole	andare	</S>
i	0.62956683	0.21003287033	0.049207174607	0.0549210792044	0.0562720529065
k	0.518752360667	0.305381369443	0.052658029537	0.0582189106449	0.064989333362
i	0.456842852222	0.354989907148	0.0561509228923	0.0617504504585	0.0702658560615
a	0.345733057207	0.431530941049	0.0900280311641	0.0625476530601	0.0701602831702
t	0.247511322869	0.43632040035	0.125360648035	0.0860957139858	0.104711880223
è	0.231912250956	0.404896268783	0.123914460945	0.0950209044419	0.144256124459
r	0.206603208985	0.447459871594	0.131377823115	0.068345055994	0.146214083763
a	0.188912064995	0.430528931198	0.183664040238	0.059836589098	0.137058419603
m	0.153267887732	0.361339393733	0.253579401413	0.0818012022993	0.150012154156
u	0.101813785577	0.303706285911	0.314218070471	0.110186448366	0.170075437652
i	0.0706634839323	0.217610718437	0.385683650824	0.152473307655	0.173568841551
t	0.0476523371774	0.154520893746	0.393813315608	0.195398492352	0.208615017584
è	0.0392328069858	0.117949666015	0.394248459869	0.233748329451	0.214820816015
l	0.0290646672953	0.0788764735717	0.423717829956	0.247738653817	0.220602330692
i	0.0220107507584	0.0514966165239	0.308764507919	0.339262915939	0.278465152831
n	0.0188821028728	0.042307279698	0.17728542564	0.44865142598	0.312873780677
a	0.0146487469336	0.03539581114	0.11549548066	0.499374911993	0.335085021092
p	0.0139300873572	0.0247590057193	0.0615432598	0.549527042664	0.350240528897
à	0.0132023799984	0.0249574347951	0.0583994904667	0.554479415555	0.348961234299
i	0.0113589120201	0.0237259490257	0.0535338644489	0.524520525185	0.386860772433
</S>	0.0106049144171	0.0230584976538	0.0422733536645	0.494319588593	0.429743719217
