 	che	non	li	aspettiamo	</S>
n	0.755483598	0.08539590881	0.0540076325405	0.0505042594306	0.054608601411
a	0.601267532667	0.213375192277	0.0699647308958	0.0572824090351	0.0581100802274
m	0.386048333556	0.266065243092	0.194696797554	0.0674372413928	0.0857523203259
i	0.248006197052	0.227213028231	0.364728858518	0.0658289121909	0.094223021612
t	0.165038854484	0.20230235501	0.435287096839	0.0671332135903	0.130238480441
u	0.127158959895	0.14913334307	0.48975485628	0.0872199196634	0.146732926614
s	0.0993925346983	0.116357225557	0.438662490093	0.154485930554	0.191101854405
m	0.0612976617661	0.0749398836523	0.328716072431	0.192914445918	0.342131994602
ì	0.0720005980154	0.0667430525841	0.327246992744	0.152495243106	0.381514198001
n	0.0963919298318	0.092508971628	0.351409554448	0.147478966435	0.312210664
o	0.0695836154373	0.0931966839427	0.267827122616	0.297459409078	0.271933202667
m	0.0519998939728	0.0592660902976	0.184129267372	0.424723449693	0.279881219956
e	0.0431290611733	0.0391173909045	0.142057168644	0.423885411231	0.351810896385
</S>	0.0284157833597	0.0314864992852	0.093587817552	0.428224548615	0.418285344193
