 	vuole	vuole	mangiato	caldo	</S>
t	0.783160932	0.07154523275	0.045786062111	0.0512746683836	0.0482332382845
è	0.723108332667	0.127049494183	0.047975355295	0.0521200764246	0.0497468086742
l	0.600726456222	0.228586927061	0.0550303421177	0.0516592993279	0.0639969741498
i	0.436744681407	0.373811544354	0.0636602473726	0.0543057761141	0.0714777413276
t	0.270884318002	0.488251315451	0.0896449838242	0.0567526762611	0.0944666673808
è	0.164399545867	0.521541831817	0.153486416108	0.0524930870344	0.108079104147
l	0.113756990022	0.524336833939	0.176274419169	0.0471340007747	0.13849778318
i	0.0771013814607	0.387992346646	0.317300327056	0.0555220886708	0.162083896426
f	0.0575886798469	0.226409182749	0.441846843685	0.10171137739	0.17244391493
a	0.0476848214423	0.151626564716	0.436937327695	0.162964186197	0.20078706109
m	0.0351084777074	0.083123015952	0.408627757698	0.263092773932	0.210048013477
è	0.0297801913425	0.0749129208307	0.318513261499	0.323974203977	0.252819506492
n	0.0333055543142	0.0787808498769	0.3091572433	0.290419833659	0.288336552031
o	0.0311254803201	0.053908438421	0.249121876033	0.354370053553	0.311474137877
t	0.0233124043287	0.0325378863023	0.133754715478	0.482647601851	0.327747370292
r	0.0145568958562	0.0204348236741	0.078870314026	0.518648103284	0.367489862564
e	0.0124443966694	0.014487161498	0.0517985820087	0.463632372828	0.457637482988
m	0.0100964487248	0.011233141186	0.0471293956429	0.441283466009	0.490257565663
m	0.0125180459607	0.0109656087133	0.0439036944743	0.512523279336	0.420089408021
ò	0.0166886018083	0.0223406355738	0.0447790023114	0.513423053112	0.402768724807
</S>	0.0165347856442	0.0325538359439	0.0485216586557	0.465922951556	0.436466783403
