 	sono	vestita	</S>
ì	0.769384624	0.1082793241	0.122336133382
m	0.664209002	0.1575195983	0.178271479741
e	0.422983254067	0.356558373033	0.220458416247
n	0.227035551489	0.502514173011	0.270450295216
d	0.19544275923	0.453821645004	0.350735604539
i	0.161109332983	0.415595885001	0.42329479338
m	0.0693871358743	0.409928147934	0.520684699527
è	0.0648051781381	0.428343617311	0.506851156509
n	0.095096073786	0.428769050504	0.476134857503
i	0.0877711921287	0.339520919168	0.572707927168
</S>	0.0704929725643	0.281853539584	0.647653555584
