 	da	da	un	famoso	poeta	</S>
p	0.733954966	0.07861686917	0.0428432969956	0.0435106297743	0.0489468366947	0.0521275032763
u	0.552196648667	0.226137713503	0.0483987965312	0.0641759415373	0.0514173533653	0.0576736437688
s	0.315290216222	0.402703698501	0.0664921466893	0.103191664882	0.0500171577195	0.0623051693083
s	0.237393476074	0.435151158167	0.0956503010631	0.101088239054	0.0604816906852	0.070235169639
è	0.189849730225	0.418179662722	0.185235323254	0.0669375885847	0.0630259427556	0.0767717893525
n	0.116048791608	0.400253579574	0.289218114751	0.0580308302016	0.0596597916204	0.0767888668197
a	0.085722175936	0.303338655325	0.382699529584	0.0984285168672	0.0554075803468	0.0744034295432
f	0.0634934411187	0.180765351375	0.424728985128	0.193189389956	0.0608959443689	0.0769267809384
a	0.0530932912462	0.126359825858	0.357834054376	0.287062706652	0.077466496923	0.0981835116415
m	0.0433945233521	0.0870390565327	0.243360744325	0.375996262217	0.122909901441	0.127299434654
ò	0.0303010949207	0.0611746179576	0.165863290042	0.408466406072	0.19682290848	0.137371651285
s	0.0232367683869	0.0492459574525	0.149299211147	0.429482843357	0.206448690627	0.142286508128
o	0.0183045189156	0.0334173339775	0.104139363316	0.358149747052	0.315215868009	0.170773132643
p	0.0161908545079	0.0238634993558	0.0578558032387	0.243200315217	0.44410610467	0.214783329948
o	0.012956038332	0.0172908174286	0.0367790008262	0.172304449912	0.492994603557	0.267675015316
è	0.00933147753133	0.0116906824549	0.0242117857221	0.0875937706107	0.605517097186	0.261655136839
t	0.00801022887244	0.0100558293813	0.0209051427774	0.0681478089369	0.691957906395	0.200923049346
a	0.00873196256315	0.0104147651248	0.0181914897558	0.0506120870323	0.633863894132	0.278185846449
</S>	0.00940160727807	0.0105330595224	0.0158013926679	0.0351828295962	0.553389988066	0.375691211224
