 	l	anno	che	viene	mia	sorella	sta	per	sta	per	studiare	medicina	</S>
t	0.6902581336	0.06645803273	0.0264641670324	0.0216348405752	0.0199712431184	0.0198952203905	0.021086228278	0.020589218809	0.0216268500039	0.0209409402541	0.0220399092249	0.0255793561138	0.0234558519609
o	0.591695291467	0.134766938443	0.0335504980079	0.0237628623607	0.0220285221103	0.0213510718527	0.0223233479471	0.0217553385742	0.022941665731	0.0222641147579	0.0239621542646	0.0311245070819	0.028473741433
c	0.428538723622	0.265857737814	0.0562928300957	0.0260967545293	0.0237212451177	0.0230308868805	0.0227065718673	0.0215549840507	0.0222095902508	0.0215591414997	0.0226191719216	0.0329846163888	0.0328278255617
h	0.259254807407	0.406881162605	0.0710799264652	0.0282290602631	0.0252694894272	0.025043532198	0.0240904495188	0.0222137489829	0.0232477905808	0.0224987011788	0.0241175206229	0.0335611651288	0.0345126773657
r	0.177155179736	0.475132455135	0.0790793781551	0.0303546271617	0.0262609951117	0.0270337719221	0.0243075732185	0.0219467336151	0.0238112055054	0.023098565799	0.0249689650913	0.0323834883555	0.034467072649
ò	0.172047782312	0.441941886912	0.128215929452	0.0338239173946	0.0264977866266	0.0269847321539	0.0230455682489	0.0207335538294	0.0224339920549	0.0220899218677	0.022017670575	0.0273105524014	0.0328567157037
n	0.162940380837	0.384626887237	0.192839917151	0.0452411856649	0.0309493361089	0.0257391767702	0.0220091681643	0.0202517856715	0.0212286214153	0.0210581050367	0.0200042058482	0.0237769392271	0.0293342746355
o	0.114026389879	0.281648297079	0.307883118384	0.0727244694883	0.0385338321363	0.0265815191143	0.0225364225314	0.0207943574298	0.0211050490474	0.0207625170416	0.0201969908937	0.0241903218321	0.0290167003297
k	0.0757251036263	0.178128606826	0.392587900128	0.113080514896	0.0492490368854	0.0277670172394	0.0230562622019	0.0218828878527	0.0209218607891	0.0206820954587	0.0210172538527	0.0248114603633	0.031090077522
a	0.0592727045421	0.124510784142	0.377660964709	0.168538361632	0.0725374973818	0.0276447562411	0.0236945150903	0.022552045961	0.0208906366553	0.0208001319702	0.0209398407734	0.0249656571023	0.0359922051641
m	0.0480020001714	0.0798958399473	0.323998797236	0.220166215611	0.101313666727	0.0344659619194	0.0266548117298	0.0248001136524	0.0234937140768	0.0232375516501	0.0262385767307	0.0274113459064	0.0403214528564
b	0.0489659711611	0.0667612218824	0.250104227212	0.230167499004	0.115159784376	0.0475791645241	0.0320342389193	0.0326172923156	0.0332316397356	0.0320689076596	0.0312736646449	0.0324183059413	0.0476181583419
è	0.0441215238137	0.0613033678275	0.204382174871	0.241154949468	0.170256526592	0.0485198676614	0.0303525837758	0.0321186872567	0.0336061450113	0.0323971588612	0.0267036029419	0.0290240250164	0.0460594758494
n	0.0330677791446	0.0554038538492	0.19486921029	0.270373032489	0.214962843531	0.0478273940738	0.0303761826253	0.0273654720687	0.0248640160931	0.0240526203727	0.0211097457498	0.0220059440765	0.0337219639732
n	0.0401147132415	0.0554555087231	0.18328118443	0.261481734163	0.200810639844	0.0646970818246	0.0397131003284	0.0315223778044	0.0241227569564	0.0240118612531	0.0218050610033	0.0223634382215	0.0306206079447
i	0.0413177754072	0.0474960854744	0.13346706941	0.230283517388	0.252147376215	0.0788553252082	0.0464876506628	0.0335655027261	0.0252947698555	0.0259455046404	0.026167270388	0.0241563183859	0.0348159772209
t	0.0325794954568	0.0365760389828	0.0887004088033	0.214709591796	0.300670317005	0.0881716976027	0.0566327609743	0.0361757083554	0.0259057861718	0.0252766397969	0.0260027094935	0.0250338843828	0.0435651091918
i	0.0295233189867	0.0324951100856	0.0676875648011	0.174027268199	0.302204770868	0.126262763401	0.0690752584581	0.0381910928265	0.0277787881933	0.0266920225038	0.0246165630348	0.0247407977019	0.0567048133312
n	0.0254131334138	0.0283874725699	0.054221830187	0.129378503533	0.318601399889	0.146825508134	0.0904138873527	0.0396136672835	0.0285929679184	0.0279888181734	0.025284045247	0.0239108961267	0.0613679720865
a	0.0243240159662	0.0271576584826	0.048076561729	0.111572038044	0.28388708903	0.163552538711	0.127146803984	0.0433367597745	0.0292955488175	0.0287577936664	0.0301081653255	0.0237039499626	0.0590811279455
d	0.0228338737616	0.0248631095622	0.041092009395	0.088565753588	0.215757553677	0.208425055237	0.160055805328	0.0491243589582	0.0326828706905	0.0328506787448	0.040330688784	0.0269059672249	0.0565123072633
r	0.0256360345531	0.0288008606981	0.0410863540903	0.0772281827693	0.176714218826	0.218217157746	0.186733208109	0.0533441459861	0.0352218599302	0.0334191326369	0.0367560424827	0.0285980478213	0.0582447837524
e	0.0259271501874	0.0290483553954	0.0361116907434	0.0658948007564	0.141853727542	0.234397457382	0.20328357337	0.066262805662	0.0329912628901	0.0282333037526	0.0273598498029	0.0243728392142	0.0842632526437
