 	è	che	stanno	ancora	alzati	</S>
è	0.662374693	0.1483638705	0.053960322955	0.0458743764905	0.0458977704306	0.0435288924508
n	0.494250215667	0.294859014167	0.0736884133183	0.0472561223047	0.043362835347	0.0465832738532
a	0.304948367156	0.431679756722	0.123514856106	0.053428934463	0.0402154877173	0.0462124717635
s	0.174871667985	0.438446974241	0.229086668702	0.063164473321	0.0399551135007	0.0544750784789
t	0.114135764128	0.39495360608	0.319751908901	0.0604800220057	0.0420436500875	0.0686350954663
a	0.0931720163093	0.32215272536	0.394359868967	0.0760814888339	0.0401915522344	0.0740424036108
s	0.0700033149364	0.222401780453	0.470993953656	0.0991435011446	0.0379483826828	0.0995090829523
ù	0.0560018966121	0.152750476284	0.510245065219	0.125434184115	0.0371016666503	0.118466691031
n	0.0503181087374	0.136453496895	0.491834735406	0.141779021105	0.0349395123261	0.144675176564
e	0.0441286370058	0.118379713165	0.359133363335	0.260661726102	0.0525082474487	0.165188407648
a	0.0373648234193	0.0715817181683	0.230705951245	0.403664822701	0.104922925503	0.151759772129
n	0.0332503013624	0.0543874586108	0.191507742715	0.418901701567	0.133610243834	0.16834252527
k	0.0457222064328	0.0684406523116	0.171146180005	0.343951953502	0.124349138278	0.24638990689
ò	0.0432161473909	0.0657894902372	0.148262299468	0.272143647014	0.189598321093	0.280990116963
r	0.0341689655276	0.0509530719191	0.124900812623	0.308401773205	0.220208018564	0.261367330788
a	0.0347842025999	0.043344391689	0.0872210315343	0.286750743448	0.240450106388	0.307449506729
o	0.0224047305486	0.025988649839	0.0472128467848	0.170414299316	0.389563920129	0.34441553835
r	0.0127479403115	0.0147133839177	0.0349889747296	0.091462567152	0.52979224071	0.316294835557
t	0.0107465000925	0.0152416127439	0.0426917284979	0.059418833584	0.52588577297	0.346015444386
ì	0.0104760521982	0.0159582695346	0.040733397246	0.0547688422813	0.494422823723	0.383640540995
</S>	0.0097644914271	0.0137076898973	0.032666279543	0.0612084083607	0.515884236861	0.366768859997
