 	è	pericoloso	di	nuotare	nella	notte	</S>
è	0.577748021	0.19895483558	0.0378516222136	0.0430558931812	0.0500040528347	0.0502827086324	0.0421028911598
p	0.437332327667	0.30711484806	0.0484617670456	0.0454216735345	0.053156663815	0.0560924487203	0.0524202471232
e	0.322789469622	0.408992028487	0.0595544861952	0.0440518646267	0.0503809705846	0.0548621655399	0.059369010544
r	0.226694382007	0.488198266162	0.0729133321117	0.0454786255721	0.0517126847746	0.0527854160283	0.0622172925661
i	0.166800232136	0.481055680054	0.151283019504	0.0431362648822	0.0473668154474	0.0470948320123	0.0632631943432
k	0.127161426412	0.448939106018	0.226203924368	0.0440364315349	0.0481933040116	0.045059853476	0.06040601785
u	0.097953612504	0.375607090673	0.314910061989	0.0496851761116	0.0535329841242	0.0452657308272	0.0630453309019
l	0.0788383543613	0.297887187558	0.382601057996	0.0570327527039	0.0748997452151	0.0474484024249	0.0612925101906
ò	0.0725965927804	0.246411460853	0.385959493332	0.100115230235	0.0785189288717	0.0477311502396	0.0686672113367
s	0.0550028518268	0.203971808084	0.414236670777	0.141652223145	0.0639221009572	0.0430506879991	0.0781636520381
o	0.0404151821223	0.169745887295	0.400098553259	0.208789411782	0.0706798017191	0.0350115952542	0.0752595712498
n	0.0362762412988	0.108651416432	0.355570818953	0.287994136661	0.083575047973	0.0308235168846	0.0971088743155
a	0.0291470646376	0.0740369961773	0.288712720051	0.331209597087	0.121131337658	0.0323139082882	0.123448422761
n	0.0244178365459	0.0534023318924	0.20855775255	0.340691384162	0.194233947886	0.0425291420027	0.136167641907
a	0.0212973800286	0.0406504491841	0.14586004805	0.318928946054	0.245957547962	0.0523885103342	0.174917185742
t	0.0172548208469	0.0286543468414	0.08875507675	0.270442511085	0.329889437321	0.0703105279781	0.194693310007
è	0.017140117773	0.0233539137071	0.0553907397167	0.217654508228	0.383515127374	0.107496485993	0.195449145229
t	0.015408856211	0.0212077759157	0.0450024683056	0.207819103009	0.371987972725	0.140002049531	0.198571833076
s	0.029386909181	0.0176388833052	0.0347315486352	0.172295092506	0.364399799775	0.16051303631	0.221034793839
i	0.0337589784312	0.0155780639971	0.0224525860031	0.110222466733	0.289445769338	0.250706403037	0.277835859426
a	0.0169353646843	0.0120029643147	0.014862980159	0.0690065979143	0.219240136198	0.395962900346	0.271989094209
t	0.0114776866271	0.0100523910519	0.012971959793	0.0498296345128	0.237188292605	0.447058151449	0.23142178647
s	0.00738189483903	0.00955687705063	0.00966211133767	0.0346575622309	0.252099917335	0.478483796483	0.208157790423
è	0.00486508601788	0.00863029603688	0.00615117872922	0.0236421046103	0.196764110778	0.556512662161	0.203434597074
n	0.00447777722209	0.00648109285763	0.00719202565641	0.0244002961774	0.161017728786	0.55924744272	0.237183638358
ì	0.00447238557043	0.00558868486254	0.00772571122167	0.0247374223718	0.132553308802	0.57893077024	0.245991693053
t	0.00542229274394	0.00577038494551	0.00851695940009	0.0211791967626	0.104852276547	0.593049899413	0.261208974618
t	0.00821613806191	0.0054279318465	0.00850685881576	0.0179782782449	0.0974233427823	0.578372733138	0.284074709739
a	0.0129871431746	0.00663762676017	0.00732345335005	0.0143154816863	0.0813807581541	0.552938519713	0.324417024113
</S>	0.0156639736273	0.00842963820009	0.00773610209862	0.0131531705042	0.0769456416171	0.504446955857	0.373624543057
