 	non	ha	da	mangiare	</S>
e	0.696291494	0.13426962411	0.063909766804	0.0520136534849	0.053515433246
n	0.479832006667	0.288534452703	0.0853016694213	0.0678633997149	0.0784684729963
è	0.267353967556	0.442875060234	0.12743192914	0.074493164818	0.0878459125291
c	0.167656853985	0.460276676745	0.21788098038	0.075874084246	0.078311503803
h	0.111833766728	0.389043469048	0.331222356127	0.0843075822153	0.083592907421
i	0.080098074376	0.267833258883	0.443276966709	0.103654127205	0.105137593807
n	0.0442047201053	0.155426635294	0.49954532757	0.142498911468	0.158324428602
a	0.0283919213684	0.0867566532313	0.384235997323	0.307972418889	0.192643019534
f	0.0241542447635	0.0473687845771	0.212038746308	0.483759836963	0.232678372511
à	0.0329094348658	0.0335009106124	0.124880247303	0.570952420988	0.237756995637
i	0.0338178333988	0.0239285835308	0.082277075801	0.572653277663	0.287323279346
</S>	0.0262206525787	0.0180387110754	0.0675048817505	0.516687587832	0.371548234673
