 	non	mangiare	la	sera	</S>
m	0.622610644	0.112875682053	0.072463719933	0.076815980524	0.115233840125
i	0.421060611333	0.256257134458	0.0825402854043	0.0874140342112	0.152727758721
f	0.228360291178	0.432650116153	0.121206566835	0.0791177217156	0.138665244071
a	0.140408740259	0.427506235184	0.217155736078	0.0685857569985	0.146343555981
i	0.0997969130197	0.282050351261	0.383347903559	0.0870937333328	0.147711091223
o	0.0573220279332	0.15745708642	0.483821381186	0.145596496311	0.155803035608
v	0.0374676255911	0.0893201708733	0.415059817062	0.297083675437	0.161068738203
r	0.0225122677304	0.0535858136778	0.328026442154	0.431947106479	0.163928324601
à	0.0267068238808	0.0495000763526	0.261900946585	0.417827372493	0.2440647468
i	0.0311312142269	0.0438530747109	0.175813263128	0.427640853831	0.321561638133
</S>	0.0258754636274	0.0306858979354	0.126197772864	0.469207480916	0.348033442066
