 	stava	ancora	cucinando	</S>
ì	0.73220001	0.0785419031374	0.0965960668925	0.0926620323875
s	0.747489926667	0.0923111403041	0.0790759152578	0.0811230092505
t	0.684259555556	0.137967654715	0.0836063108686	0.0941664260742
i	0.622456481852	0.179150553652	0.090438951788	0.10795394285
g	0.595371103284	0.204467774751	0.0825674724225	0.117593616144
g	0.574040419095	0.187134667536	0.0803298165583	0.158495076242
h	0.592098458365	0.152238494865	0.0749700414298	0.180692991804
e	0.439564550122	0.311503545356	0.0754775988868	0.173454298357
a	0.200541749374	0.513953239785	0.0920588818023	0.193446072619
n	0.132503678658	0.545656616595	0.100809296734	0.22103034924
k	0.176048258286	0.457220487332	0.103577726245	0.263153496013
ò	0.183454104029	0.344109035244	0.168783002148	0.303653817071
r	0.132307267023	0.374138974748	0.194054784383	0.299498953024
a	0.0879892584877	0.330717262003	0.201998317128	0.379295130608
m	0.0588413156292	0.223022564421	0.323459100376	0.394676968869
a	0.0443692728764	0.164435412074	0.411215972125	0.379979270956
r	0.0306572224855	0.096924277358	0.441857270042	0.430561192985
è	0.0314373885552	0.0783153693793	0.462080820681	0.428166440328
o	0.0264969138584	0.0630287877931	0.444110566894	0.466363782776
n	0.0318752019995	0.0617837594244	0.440381463631	0.465959656259
t	0.0847282252398	0.0720470572281	0.411597720544	0.43162705542
a	0.0978107765466	0.0650099299427	0.362783451515	0.474395848473
</S>	0.0701419045733	0.0560196906714	0.356038260758	0.517800116237
