 	venne	scritto	</S>
ì	0.774144415	0.118374040994	0.107481580879
r	0.741765969667	0.158896364941	0.0993377347187
t	0.686307577889	0.198688344727	0.115004165651
e	0.562843706896	0.291350450509	0.145805930488
g	0.361288331099	0.41549782417	0.223213857496
r	0.232896739166	0.477758100057	0.289345141239
a	0.140389006989	0.497655277352	0.361955686486
m	0.0700291674963	0.467654136451	0.462316630162
m	0.0448805647321	0.472177112817	0.482942208254
è	0.0648453923774	0.454019615606	0.481134900951
n	0.110775418192	0.381254534535	0.50797004765
o	0.0965146183307	0.307894746178	0.59559066255
</S>	0.0612176705654	0.272020242089	0.666762090275
