 	il	dito	si	gonfiò	</S>
o	0.715706961	0.1378842457	0.045434039867	0.0528664153098	0.0481083275094
d	0.558201958333	0.264484987633	0.051343379379	0.0594488454827	0.0665208530699
à	0.367108356444	0.446067685878	0.053705405273	0.0593300997696	0.0737884637739
t	0.249097109815	0.548993176626	0.0588699248577	0.0474296506319	0.0956101365001
t	0.226776570605	0.492367323542	0.0918552098406	0.0647958812923	0.124205017777
i	0.194607628868	0.408463403847	0.197403616582	0.0921809415258	0.107344341059
l	0.116068489756	0.356447762616	0.267384029927	0.122483940869	0.137615702328
o	0.077848047852	0.247230573539	0.355245983709	0.139046181023	0.180629145709
è	0.0538269637573	0.134012263846	0.39222913857	0.229634106674	0.190297467056
p	0.0399582161724	0.077369196282	0.27178280619	0.384773564225	0.226116234439
r	0.0450687582375	0.087081740894	0.19861653673	0.406577836742	0.26265517556
i	0.0414428968592	0.0814594394313	0.143708719843	0.402872104247	0.330516865067
m	0.0256627418204	0.0397307941904	0.0881214421477	0.487007133416	0.359477898622
m	0.0382903066141	0.0366192220435	0.0964854243026	0.501809050472	0.326796051074
è	0.042786361978	0.0398032208545	0.0949434412942	0.440357896157	0.382109084958
n	0.025613533063	0.0326349694048	0.0679100370047	0.438571599386	0.435269823653
o	0.01893281105	0.0258532191283	0.0529816239682	0.393834928662	0.508397465884
</S>	0.016353943643	0.0225470817342	0.0407870538841	0.330510111631	0.589801896942
