 	non	so	cosa	scrive	</S>
e	0.681988912	0.1626081404	0.056574621063	0.0482877384809	0.0505406247063
n	0.4748085084	0.320657025733	0.0754785551203	0.060764220408	0.0682917236199
e	0.287070289867	0.445523381244	0.125032150927	0.0657015621091	0.0766726502054
t	0.195999334889	0.426003769748	0.222819748109	0.0727655104584	0.0824115838718
s	0.15232784083	0.412117811249	0.23799500037	0.0871413228195	0.110417922037
è	0.133451644143	0.446866406416	0.207818835523	0.0769012372465	0.134961818652
r	0.0906577345143	0.407063066805	0.273136535574	0.0738398959222	0.155302678937
o	0.0685276957048	0.294604050935	0.371215901858	0.100069061441	0.165583278806
t	0.0495827618583	0.176763045812	0.425495305953	0.16769119008	0.180467758535
i	0.0324226529894	0.0930288627573	0.341584294784	0.280265308027	0.252698924045
g	0.0236768462698	0.0550530452288	0.198209389928	0.452467864676	0.270592891015
r	0.0130918078153	0.0341748426193	0.121696894843	0.574151319225	0.256885144138
à	0.0155109573314	0.0259109152178	0.0905883174143	0.544035128742	0.323954717513
f	0.0188972397215	0.0234665044346	0.0749872665648	0.534606166247	0.348042844104
i	0.0156925856805	0.0186899105662	0.0551384878816	0.495140325416	0.415338673635
</S>	0.0159583553752	0.0185457785591	0.0426735620408	0.421958935708	0.500863359818
