 	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
e	0.6979224445	0.08632376359	0.032391354918	0.0247756138875	0.023881004261	0.0243455325177	0.0252839138122	0.0271330763257	0.0307765332027	0.0271667081772
n	0.499299809567	0.207768031663	0.072911730646	0.0301714330995	0.0290799739848	0.026987142126	0.0279453842082	0.0291286571009	0.0359768791497	0.0407310086648
è	0.300935596256	0.335876266554	0.137963744349	0.0360271985132	0.0316304621249	0.0264262041949	0.0281084407332	0.0264978189924	0.0329105616356	0.0436238153247
g	0.200333738172	0.365411958185	0.192218040783	0.0588875351177	0.036714920117	0.024797036887	0.0299964390679	0.0242439484806	0.0283695122431	0.0390268655203
r	0.120715806977	0.357908943728	0.232297384261	0.0976522563326	0.0455343679111	0.0250728568701	0.0307026050216	0.0238664966027	0.0280582177472	0.0381910980509
a	0.0834842052257	0.279877476109	0.290888576087	0.162532630738	0.0453131693438	0.0250959473396	0.0276258433778	0.0243088004439	0.0284206498701	0.0324527563717
t	0.0594182285352	0.17059504677	0.330964871362	0.236529969113	0.0528880369813	0.0287154074874	0.0277200435683	0.0258158033036	0.0289456324409	0.0384068961132
s	0.0549594464184	0.124671944057	0.324854398454	0.254474449838	0.0717231273221	0.0323680001965	0.0330710270241	0.0265765553928	0.0300209080657	0.0472801293921
a	0.0539495707861	0.0949898078857	0.275147146751	0.295617288746	0.101270786822	0.0350780327275	0.0360610683614	0.0284203558648	0.0318020588423	0.0476639241846
m	0.0438701923914	0.0701736612352	0.219966392584	0.309745752515	0.153476038274	0.0392342231472	0.0490016743831	0.0328869148738	0.0312435191234	0.0504016071723
à	0.0349560334265	0.0552980228851	0.172683514728	0.283387155772	0.229161920358	0.0570053091557	0.0564758898316	0.0303956993222	0.0260222488157	0.0546141588108
i	0.0274767787155	0.0384519370817	0.104501775843	0.260091811591	0.333126759053	0.0889878290319	0.0459151694878	0.028228855901	0.0221881988477	0.0510308521445
è	0.0239627431419	0.0296212015006	0.0660286194877	0.194412145397	0.437671545684	0.105292008477	0.0427220287359	0.02920337792	0.0210194608605	0.0500668773624
n	0.027966195914	0.0318525437335	0.0585557500959	0.147491147532	0.470383695895	0.116051237892	0.042640365112	0.0264331371719	0.0217046688812	0.0569213371004
a	0.0327032929147	0.0367453476178	0.057441800852	0.112617905157	0.388364430965	0.184327303764	0.0649644854173	0.0346734561109	0.0251207286694	0.0630413047371
g	0.0320929872222	0.0389631857753	0.0597116414347	0.0940914973657	0.270039935855	0.224477557455	0.118221326606	0.0548500777236	0.0271536010071	0.080398211516
r	0.0289978196903	0.0363574808131	0.0595432972356	0.0803456131219	0.191393671752	0.218805335552	0.197314478869	0.0637641493745	0.0291908390424	0.0942872888603
à	0.0213804213708	0.0297672520764	0.0459085556165	0.0605111345606	0.174533593851	0.225572831384	0.249579804556	0.0657116228915	0.0278438404875	0.0991908040934
m	0.0160989824833	0.0240127766695	0.0415596283122	0.0548816839282	0.165564157417	0.202488593395	0.283791360452	0.0669376825972	0.0285355995225	0.116129470518
m	0.0165983222444	0.0259804317072	0.0524883108194	0.0565956872241	0.161180891739	0.165987385465	0.289272836151	0.0828533965324	0.0351552152715	0.11388758016
a	0.0159244958581	0.0247551948471	0.0451477682165	0.0464399392794	0.13415374198	0.143517177022	0.258153618717	0.156604152177	0.0615877182078	0.113716265587
s	0.0120442150911	0.0159611729204	0.0241589810742	0.0282900844525	0.0701054575933	0.141963743541	0.286929700239	0.207150275392	0.0799551682026	0.133441321529
o	0.0113730016588	0.0135308000888	0.0174617165074	0.0214699093188	0.0436245957044	0.12692321242	0.255207663813	0.225842308931	0.144920915734	0.139645976176
n	0.0113895575243	0.0139629967783	0.0189316546198	0.0201471103776	0.0370333468481	0.10625074718	0.187265197671	0.274914099444	0.175487052845	0.154618215059
a	0.0110567396784	0.0137372781761	0.0191765839839	0.0192596330225	0.0336114585134	0.0884868536333	0.150579873357	0.271014982081	0.217251438015	0.175825143153
d	0.0107379491731	0.0124783028887	0.0164970781233	0.0174124745328	0.0284773984618	0.0644229691844	0.119311638986	0.237674283627	0.284278342672	0.208709628584
e	0.00949792012306	0.0109520302016	0.0148303730911	0.0162018471246	0.0254418495766	0.0461650947781	0.0948912618353	0.213714863409	0.349422102224	0.218882736128
r	0.00882578221638	0.0101427520925	0.012307504115	0.0141037436065	0.0218976755749	0.0379156928694	0.0717343505184	0.191809293336	0.403406080741	0.227857185376
f	0.00578001759746	0.0081939321075	0.0101912931757	0.0101669888022	0.0152921685136	0.0307496282065	0.0768264806061	0.223794700245	0.35017776818	0.268827041139
ò	0.00425614962782	0.0063810458305	0.00866394885857	0.0073656564994	0.0115927485532	0.0228638147322	0.063571033942	0.204081606415	0.398689981327	0.272534006526
m	0.00641637077614	0.00730870802817	0.0132883924809	0.0126838067562	0.0210717429724	0.0313915474707	0.0526109548207	0.135536434205	0.461909979109	0.257782044642
m	0.0060277234439	0.00755382131126	0.0159173465238	0.0150670636731	0.0230321073441	0.0648877002169	0.0716380493402	0.182570300002	0.388960764636	0.224345108014
u	0.00528928715189	0.00705405256522	0.0116830269399	0.0116976666057	0.0162531174447	0.066603253059	0.0650828723734	0.180921360734	0.345318762479	0.290096677138
</S>	0.00622540122434	0.00732079948201	0.0100730388815	0.0108121950828	0.0153866990893	0.0441543158995	0.0421796855767	0.117106800867	0.36134629024	0.385394929569
