 	ora	ho	finito	di	scrivere	</S>
à	0.745694815	0.077476295597	0.0423957434757	0.0458727807145	0.0441156102395	0.0444448502299
r	0.604421139	0.197702856477	0.059828110909	0.0467926710712	0.0451341983088	0.046121079966
t	0.462703988333	0.307832339959	0.088817561603	0.0461043638737	0.0450011942422	0.0495405075746
e	0.328143043744	0.405979542786	0.113597262268	0.0481417122007	0.0483025982381	0.0558357434706
s	0.184518649101	0.488444258929	0.162659621489	0.0477608441964	0.0484278185103	0.0681887670715
p	0.119997658574	0.481611618976	0.197380260496	0.0622664216075	0.0496277760616	0.0891163144526
ì	0.088366539178	0.435987202325	0.271689326165	0.0708950766612	0.0450476146963	0.0880143018218
c	0.0703867235727	0.337664313842	0.401698909388	0.0711977954404	0.0383981088999	0.0806541999888
c	0.0642978908442	0.326776827681	0.398206630196	0.0792837989401	0.0451753633532	0.0862595656085
e	0.0610232116214	0.280497026827	0.328402056465	0.17794795984	0.0568875916869	0.0952422123391
t	0.0462377561671	0.180585513209	0.353565884155	0.248497447747	0.0602654486956	0.110847986134
s	0.0479610596124	0.169541126736	0.345344034052	0.244246853756	0.0604275958892	0.132479336214
a	0.0399066045741	0.126742925659	0.217730361884	0.359131163292	0.103948942554	0.152539990626
t	0.019916708648	0.0613115512997	0.135972109161	0.488025952431	0.129128422318	0.165645303009
s	0.0127401961373	0.0755952216999	0.12835759272	0.456300941077	0.114773708906	0.21223234347
e	0.0103452276671	0.0767302574933	0.0883068833133	0.359837948826	0.167961229635	0.296818457223
g	0.00705118515503	0.0348843367398	0.0500198973778	0.321202057075	0.287626296545	0.299216345074
r	0.00434830940141	0.0192546277799	0.0389028496593	0.285398072292	0.403697365515	0.248398891065
à	0.0057620457342	0.013475954638	0.0291377916464	0.232872989964	0.497386357838	0.221364950062
t	0.00921608898007	0.0105611731393	0.0210637987088	0.188391106521	0.562394355279	0.208373533687
s	0.00851387096042	0.0227101940211	0.0207759460629	0.18457972244	0.518643441093	0.244776814896
i	0.00618219963187	0.027124167975	0.0222459176476	0.151602573613	0.429019057698	0.363826014632
</S>	0.00600250603594	0.0175521017275	0.0215074946238	0.103508998607	0.401256342849	0.450172456316
