 	non	sono	ancora	vestita	</S>
e	0.745528715	0.096782048748	0.059824291684	0.0469647726511	0.0509002347306
n	0.557038965	0.245918133316	0.0785739404173	0.0471982244044	0.0712707692419
ì	0.338777811533	0.449774344439	0.0916257955791	0.0432255993375	0.076596412685
m	0.226701869978	0.530461622146	0.099114410793	0.0433414272092	0.100380639347
e	0.148223988526	0.448998122449	0.247731798198	0.0481344910391	0.106911561582
a	0.0946083771753	0.270269097616	0.499969295399	0.054613897949	0.0805392712007
n	0.0632570923251	0.152726890472	0.5730947338	0.076100308583	0.134820889667
k	0.0902139099084	0.117984243224	0.4472391296	0.104004828728	0.240557828422
ò	0.0946552485695	0.130907793008	0.340116705933	0.136661362576	0.297658875474
r	0.0596104115232	0.154293091936	0.355117699311	0.144322643725	0.286656142758
a	0.0479447122077	0.118271297579	0.314423777257	0.225500719375	0.293859456919
e	0.0329063465957	0.0580939051637	0.176276292652	0.426362648125	0.30636074784
n	0.0190592227897	0.0308549688119	0.0912392316973	0.509622738042	0.34922380748
d	0.0228492742832	0.0252517597906	0.0583030145658	0.436961816414	0.456634165827
i	0.0232653312581	0.0208733303169	0.0420827548886	0.389106913205	0.524671789276
m	0.0166397212812	0.0147440696056	0.0386664149642	0.435514629735	0.494435278425
è	0.0192274841505	0.0198283744619	0.0571811117761	0.460188993245	0.443574097475
n	0.0246693064923	0.0296044425873	0.0698325752587	0.417874760415	0.458018985158
i	0.0243989344796	0.0279734310824	0.0600140861262	0.356174701472	0.531438955719
</S>	0.0211300017048	0.0239482034412	0.0570507925531	0.316225730736	0.58164540786
