 	non	li	aspettiamo	più	</S>
e	0.576942986	0.269395734485	0.050552575371	0.0520332900748	0.0510754084216
t	0.356379972933	0.419848082828	0.066852611217	0.0652843786715	0.0916349866184
u	0.220500809511	0.502446622943	0.094133732339	0.072152042497	0.110766881049
s	0.16080404077	0.453269411648	0.17583640898	0.0896488535722	0.120441348542
m	0.144132575923	0.331158765883	0.225518604927	0.122210516724	0.176979581881
è	0.152395207774	0.316192632228	0.206749864242	0.140406238821	0.18425606404
n	0.122946344458	0.314502169009	0.255836551414	0.146386986387	0.160327848093
u	0.0885869100193	0.221100030336	0.352092881805	0.173943783596	0.164276272364
m	0.0551327480064	0.122258536072	0.338818579468	0.281599268532	0.202190797455
e	0.0330092712021	0.0728483522507	0.217732036289	0.441864572177	0.234545728485
p	0.0204267618847	0.0453595266509	0.114153603163	0.570375256726	0.249684808162
l	0.0117572565836	0.026350273951	0.057033867521	0.610740566909	0.294118026721
è	0.0221313508525	0.0206480183703	0.060363593907	0.588663478303	0.30819361024
o	0.0304386937308	0.0203613787674	0.0636948217157	0.538123351701	0.34738180208
</S>	0.0256123427554	0.0177409889197	0.0479543558778	0.505113450251	0.40357889704
