 	la	pasta	vuole	sale	</S>
i	0.634398391	0.2120668419	0.050517874985	0.0509980298782	0.0520188434759
p	0.489663913667	0.298687776033	0.0783050119783	0.0643841544579	0.0689591990742
à	0.341345422556	0.419795882344	0.0939242851261	0.0672494626894	0.0776850837345
s	0.221235868919	0.527910061448	0.101730658509	0.0621979621352	0.0869255304686
t	0.13839549924	0.499452407149	0.163779201961	0.0991600342014	0.0992129149571
a	0.07978923428	0.41584737705	0.287248098312	0.109820385548	0.107295000518
t	0.05768395942	0.277728327683	0.383360016104	0.111128941863	0.170098899903
è	0.0435470568	0.165477132961	0.465907984701	0.128353662221	0.196714254434
l	0.03440152252	0.11493362772	0.523748490234	0.12783872574	0.199077598278
i	0.02877816866	0.0755282514067	0.374269675345	0.280487297913	0.240936576226
à	0.021091134694	0.0428873338922	0.187343312715	0.542844977971	0.205833266875
l	0.0127197130759	0.0241312346607	0.125556290638	0.683655972657	0.153936802825
a	0.0141801394939	0.0209001542729	0.0803813004593	0.650846951552	0.233691480675
</S>	0.016831324544	0.0213421875554	0.0518837384997	0.592482742776	0.317460080338
