 	vuole	pianto	</S>
i	0.756367399	0.124138266364	0.119494288195
t	0.710384886333	0.116616985077	0.172998009419
è	0.646017588111	0.143962186139	0.210020105851
l	0.584345736037	0.1585551601	0.257099000282
i	0.408068868479	0.272093862087	0.319837151074
k	0.21639628116	0.382269600029	0.401334028425
l	0.18201473132	0.352522245343	0.465462949208
a	0.14758810304	0.341750791781	0.510661053469
m	0.0709920467133	0.35321465726	0.575793259156
m	0.0790262352978	0.340782107087	0.580191657185
è	0.0898422083626	0.345357009029	0.564800827195
n	0.0875524199575	0.375576452343	0.536871127065
o	0.0809568873858	0.377468540781	0.541574508355
</S>	0.0593448935929	0.37304303539	0.567611990177
