 	aveva	lavorato	tutta	la	settimana	</S>
ì	0.767314719	0.05157755809	0.0436564512976	0.0466875976061	0.0430303897308	0.0477333889523
c	0.614523035	0.177374336697	0.0497661455643	0.0537382034982	0.0480579816822	0.0565403758164
h	0.473040005667	0.306815691566	0.0560282192728	0.0550044231306	0.0522468971161	0.0568647853688
e	0.383072908556	0.402625189189	0.0579746391516	0.0510202902702	0.052163313476	0.0531436404638
p	0.229606414919	0.501451309063	0.0879421307732	0.0563220535127	0.0555069099691	0.069171170701
o	0.142474416106	0.542400571021	0.118723008911	0.0641509611256	0.0558817125509	0.0763693790761
l	0.102489047555	0.55665749434	0.133893120237	0.0819336515245	0.0575076883555	0.0675190949972
e	0.106166990772	0.477285946113	0.195098845412	0.0908741222615	0.0610951805236	0.0694789300907
m	0.0981407538373	0.390878719371	0.262279858204	0.104706281794	0.0727703633929	0.0712239740564
ì	0.0673623157258	0.334244929124	0.320923959135	0.119537810065	0.0755089529843	0.0824220131321
s	0.0570166194686	0.324621323041	0.347840185978	0.110821966022	0.0633612408348	0.096338706748
o	0.0510977069162	0.260242907747	0.365252464926	0.150739199141	0.0685709883249	0.104096793783
n	0.0462875996854	0.142579873782	0.403378100042	0.204975260247	0.082330786235	0.120448409281
t	0.0394187226351	0.112015991061	0.373146651081	0.238408751016	0.109113649098	0.12789628464
a	0.033813541485	0.0813529383937	0.27752094736	0.317783394339	0.125188567233	0.16434062708
ò	0.0194179456617	0.0411804163046	0.225514437453	0.37774203678	0.143548348744	0.192596869253
l	0.0138506442939	0.0377899211015	0.215847059751	0.372743425993	0.174480296848	0.185288724944
i	0.0149609977753	0.0352291683578	0.14927997925	0.354240998398	0.215774760016	0.230514017315
t	0.0135948145384	0.0228729109899	0.08651371295	0.347386264799	0.281807630672	0.247824616705
i	0.0121828684288	0.0178537995566	0.0600006410767	0.292515732333	0.352972756491	0.264474250768
n	0.0120278908049	0.0156721018255	0.0451176780522	0.236194992178	0.40034283283	0.290644507656
a	0.0109467520056	0.0144380051318	0.0390854832174	0.190287471159	0.441026148943	0.304216129419
d	0.0109450452025	0.0134541540073	0.0279942915325	0.115980761153	0.487357980314	0.344267801273
d	0.0079369396275	0.0126800681624	0.0220289490175	0.0957939942883	0.540746295438	0.320813840651
o	0.0137560037705	0.0213805000255	0.0205510093858	0.100229688867	0.513839914479	0.330242981377
m	0.017718380458	0.0238867278025	0.0223331308619	0.084295938489	0.44526194216	0.406503953126
à	0.0121739272185	0.0245979391502	0.033899707594	0.0769238664963	0.41883885272	0.433565763042
d	0.0108602835915	0.0265170553954	0.0411998708447	0.0807230776321	0.40074185424	0.439957929681
a	0.0119653631178	0.0198360040051	0.0367217429282	0.0782707666774	0.375654595413	0.477551551227
</S>	0.0136750831089	0.0186966640446	0.0355948171241	0.0811756463387	0.346953762707	0.503903977613
