 	questa	casa	la	costruirono	cinquanta	anni	fa	</S>
t	0.7274349206	0.0641956253	0.0362412967715	0.0334636281176	0.0327930230359	0.0338481523781	0.0364172076882	0.0356061547419
ù	0.704190827	0.0887560927667	0.0385498189368	0.0326828965541	0.0315031777426	0.0327247216901	0.035943855141	0.035648627908
t	0.626368338733	0.169871209056	0.0400610782051	0.0313271196962	0.0289953633492	0.0302898831389	0.0355885238618	0.0374984906641
t	0.545812199911	0.215426783499	0.0595537054498	0.0354442243926	0.0299567850131	0.0332310539518	0.0397078185395	0.0408674603295
o	0.476211464704	0.25807782678	0.070254055738	0.0379537139464	0.032016373827	0.0368833552893	0.0434045461882	0.0451987160576
s	0.330554007968	0.371405696927	0.0821042039793	0.0388603619439	0.0319286260321	0.0358858268214	0.0447043108414	0.0645569657617
p	0.240551211789	0.402370536976	0.109566997022	0.046796137566	0.0332492123116	0.0361897630529	0.0437515296471	0.0875245807981
ì	0.198373670396	0.446626257659	0.12286610837	0.043988697916	0.0323468529347	0.0335369783666	0.0373306712394	0.0849307590547
t	0.129784227465	0.511043899886	0.14016623599	0.052407206946	0.0305310422685	0.0269177406998	0.033543394027	0.0756062593182
i	0.0910799174217	0.431534612629	0.251904780797	0.0587197433067	0.0319327480054	0.0258926356255	0.0341960342728	0.0747395190291
t	0.0670167194939	0.310597136876	0.377005828266	0.0694209129136	0.0354568424208	0.0269810798513	0.0338859197845	0.0796355885519
o	0.054386686698	0.218481241959	0.452342796489	0.0823132099045	0.0436458057881	0.0308663942841	0.0360323912687	0.0819314966101
f	0.0471519306293	0.13811012232	0.437230087496	0.165519224101	0.0601749673112	0.0391174194514	0.0383930149342	0.0743031583509
a	0.0413362163864	0.09517126364	0.379782680565	0.2527323277	0.0738495640064	0.0437519762873	0.0381747917768	0.0752011284736
b	0.0355542188888	0.07330975088	0.331766597322	0.2967467569	0.0808827990515	0.053069433332	0.0413824287298	0.0872879830777
b	0.0414765665363	0.0858171170933	0.230715631741	0.326566164967	0.086257215786	0.0615355233583	0.0561097418173	0.111522017604
r	0.0555491586368	0.130753414364	0.19319056588	0.321784099656	0.0762232599122	0.0491381331417	0.0518737587939	0.121487658695
i	0.0500183014236	0.121404097721	0.229082740627	0.353153899885	0.0686550091254	0.0332998858026	0.0332006682186	0.11118540729
k	0.0729177306879	0.0688059193537	0.196028212316	0.399661768495	0.0774133742485	0.0316382722245	0.0314815052307	0.122053162731
è	0.079897976416	0.0482084466312	0.160450964612	0.429385250832	0.0864344560162	0.0311587484537	0.0325010883058	0.131963060432
t	0.0473484584453	0.0436543377437	0.180577921671	0.436835673744	0.105308556539	0.0346693852246	0.0356921508262	0.115913556511
s	0.0332207502238	0.0345598713146	0.145681762957	0.458156449048	0.117889242913	0.0456100633549	0.0441115770794	0.120770367581
a	0.0305665820099	0.0301645601515	0.0992992670323	0.388703250549	0.207876235971	0.045385329185	0.0497558732505	0.148249036896
n	0.0278226304233	0.0309217012772	0.0799135049241	0.28982401125	0.316100812924	0.044193602195	0.0523644298235	0.158859369926
o	0.0249978330531	0.0289598949724	0.068855625488	0.231973729283	0.340167414441	0.0752151265583	0.0581568595145	0.171673517879
p	0.023038912003	0.0251027263841	0.0488018042293	0.173701237761	0.36127613928	0.124559021346	0.0751264312715	0.168393699113
e	0.0209497086583	0.0223202920014	0.0403736116298	0.141827917687	0.33084956476	0.177293876449	0.119003115124	0.147381906258
t	0.0169723018881	0.0183431615538	0.0332835904393	0.116726283529	0.288001957387	0.24453802815	0.147806203108	0.134328484619
t	0.0147219971274	0.0145454976113	0.0225115724024	0.0956698701763	0.249802284536	0.301878980717	0.145419819943	0.15544998224
ì	0.0172412591358	0.0165131536038	0.0256146699141	0.0788508284921	0.192066853519	0.315541973839	0.158695985488	0.195475267847
n	0.0162297897506	0.0182796733482	0.034081006678	0.078885569304	0.181274439706	0.296313803546	0.197260508696	0.177675168282
t	0.0214781998535	0.014885883101	0.030608597166	0.0820383786413	0.159329798169	0.286922502182	0.214805429099	0.189931232894
a	0.0223084228825	0.0110772147277	0.0195665890953	0.0616311740604	0.101639078416	0.286517807061	0.254640434366	0.242619248631
c	0.0144319586562	0.0109505917852	0.0168771897284	0.0385118483135	0.065169455392	0.28241510382	0.335695512122	0.23594818661
h	0.0124722194874	0.0111401565331	0.0164492160261	0.0310524260378	0.048942268624	0.28747246954	0.340611074707	0.251860073537
r	0.0307631883771	0.0294602182577	0.013851969436	0.0213711785826	0.0379356882413	0.271548628113	0.289153860636	0.305915213846
ò	0.0346886769804	0.0339446069919	0.012002291489	0.0168853667755	0.0397762376404	0.212465959771	0.348888221945	0.301348539682
n	0.0260846419781	0.0259388973733	0.0207224312047	0.0237728777412	0.0474025441135	0.165329204324	0.401271437982	0.289477808361
u	0.031941714506	0.0316033581778	0.0305842578022	0.0298683421691	0.0399163948112	0.143135269908	0.406394905327	0.28655558792
a	0.025573573664	0.0245819964566	0.0245449272001	0.0256522402537	0.0271297607037	0.135345466303	0.441111577776	0.29606032664
m	0.0169784298813	0.0162652248415	0.0179672984174	0.0311816848046	0.0372121948212	0.166924572501	0.414318036192	0.299152521547
p	0.0125123455538	0.0116193441738	0.0129072729725	0.0361063472749	0.0412437632631	0.240465754567	0.392378222331	0.252766954182
ì	0.00879549062127	0.00775608935793	0.00902828563083	0.0264056168716	0.0281128042237	0.219007801789	0.422434226777	0.278459669061
</S>	0.00738607093563	0.00693139353897	0.00954303147541	0.0218299515358	0.0245931563618	0.150720199295	0.448980461389	0.33001575953
