 	è	che	sono	usciti	</S>
è	0.657775862	0.1351820706	0.076902999244	0.059341930793	0.0707970742963
n	0.498773901133	0.2486744838	0.0978552697153	0.0650120181923	0.0896842847578
a	0.290092817978	0.374478405933	0.117471404505	0.122444598691	0.0955127157126
g	0.145000906099	0.418968561311	0.191484432835	0.14490458519	0.0996414292042
u	0.067436530873	0.30288708257	0.297691398078	0.182975857957	0.149009091155
ì	0.0386142492577	0.14167994419	0.341109758493	0.276225650986	0.202370417338
k	0.0369797222526	0.13656119313	0.334454669498	0.263632957329	0.228371465446
a	0.0422379036887	0.128825858417	0.265193839699	0.304431393776	0.259311018329
n	0.0303913934008	0.0613298561823	0.210854008233	0.375119657925	0.322305162976
e	0.0215126553033	0.0403525644174	0.175602378811	0.318546306642	0.443986151192
</S>	0.0251238269562	0.0397622299387	0.145520431806	0.266301143321	0.523292368596
