 	qualcuno	al	telefono	vuole	sapere	dell	Anna	</S>
k	0.7130914626	0.068064470524	0.0405902320145	0.0320144457813	0.0322655617996	0.0332130390943	0.0436292892445	0.0371314439847
a	0.5820464546	0.177133657915	0.0443704810456	0.0337829487309	0.0343304140516	0.0357311455071	0.0519572702118	0.0406475811861
n	0.390220731533	0.360127510905	0.0517306748489	0.0343476626249	0.03372811601	0.034212861703	0.0501894112154	0.04544298651
è	0.241088365844	0.498941075635	0.0678526043163	0.0348218653486	0.0322970753186	0.0324817797211	0.0440310854703	0.0484861106579
n	0.159052243615	0.564122369212	0.0873500809388	0.0392715911271	0.0307674132107	0.0305751181429	0.0403439818645	0.0485172875631
a	0.107323358605	0.507632117337	0.18615305478	0.043819741325	0.0314580771146	0.0307975925674	0.0425658169057	0.0502503741983
s	0.077558695135	0.357390196046	0.33286399066	0.0534038477203	0.0349737413222	0.0308682369076	0.050604580167	0.062336739823
t	0.0823289037783	0.265306897682	0.366264123553	0.0735583828334	0.0423439638478	0.0346225479631	0.0586932214556	0.0768819391836
o	0.0936723093128	0.224475882961	0.371227772518	0.0975534365645	0.0437740177037	0.0372025239039	0.0545482074188	0.0775458624321
t	0.0682053156309	0.158376297654	0.410859542173	0.133394347015	0.0433869190712	0.0364040542737	0.0517998634187	0.0975737144824
e	0.0481880175036	0.106169037285	0.408587822724	0.190477919005	0.0453125710391	0.0377483695113	0.0511400657765	0.112376218224
l	0.0431688336252	0.0790567071617	0.392612746241	0.227787398602	0.0600216992017	0.0483124376211	0.0486423299219	0.100397841259
è	0.0372116454991	0.0617764537872	0.32732684448	0.314478343534	0.0665676553872	0.047514740387	0.0445077365024	0.100616619122
f	0.0305566601597	0.0517993603957	0.233640397093	0.408855272978	0.0696381737824	0.037983774529	0.0457281766513	0.121798247685
o	0.0327077649266	0.0491765133986	0.163989626364	0.392949770126	0.137170906261	0.0411517064697	0.0471680101914	0.135685782137
n	0.0358332112555	0.0463300525929	0.112476395388	0.365433543109	0.203312377754	0.0538677416099	0.0443572894251	0.138389454476
o	0.0313488928965	0.039901049391	0.0836082212627	0.30242162877	0.270034367585	0.0832038568966	0.0492645582264	0.140217408071
t	0.0248634884702	0.030526966757	0.0564112280276	0.21240171439	0.360973707862	0.110362844832	0.0696511047888	0.134808896548
è	0.0189856503101	0.023008037479	0.0440184018159	0.171781588263	0.383741439287	0.140651391877	0.0945904113496	0.123223094772
l	0.0165428989034	0.0212261474263	0.0417784529186	0.147306652954	0.364821924162	0.179951697559	0.0941374705365	0.134234805487
i	0.0149029705345	0.0185046881308	0.0321856807595	0.100454801565	0.293819199121	0.251715419186	0.113749241579	0.174667957069
n	0.0185246498495	0.0208104286456	0.0312920185132	0.0637605210617	0.215289176374	0.312045999062	0.13299146246	0.20528566309
a	0.0200756299345	0.0218712775352	0.0311347993511	0.0500560916472	0.154166101458	0.283681945021	0.199961374087	0.239052766963
t	0.0169192169355	0.0176883150051	0.0230361049837	0.0348760601424	0.106801343286	0.28157655834	0.287274020696	0.231828371188
s	0.0135615143692	0.022532956395	0.0277644768812	0.0273660848255	0.105273608429	0.29087004118	0.321152271565	0.191478943663
è	0.0117867300697	0.023438743965	0.0291744138937	0.0212164473038	0.081726653143	0.214438752127	0.412630870522	0.205587238754
r	0.00869450835857	0.0134141798863	0.0177961523112	0.0180189995453	0.057734502781	0.166614716042	0.464101562174	0.253625284251
i	0.00651421914552	0.00887068956343	0.0115289773871	0.0140199786304	0.0418877818603	0.127437610814	0.446461096058	0.34327955675
à	0.00590550625517	0.00720438593048	0.0094901605457	0.0100831701255	0.0246319366868	0.0776854132713	0.529270786019	0.335728543317
t	0.00605583724972	0.00761417707616	0.0100430986819	0.0124871549552	0.0270683302889	0.0776643303571	0.570964834006	0.288102171506
t	0.00905222346484	0.0134607842507	0.013726752414	0.0127102583777	0.036487427483	0.105961988652	0.487702408002	0.320898121969
i	0.0100337262216	0.0155051053256	0.0138721448447	0.00923545120523	0.0307113297543	0.097114468284	0.465197701334	0.358330100123
n	0.0096252229394	0.0126520098724	0.0116907368756	0.0104982417471	0.0232782888714	0.0690559990613	0.514374425111	0.348825134308
A	0.0092832826696	0.010870653322	0.0117243767659	0.0113856674677	0.0252009564438	0.0673601196538	0.544564425704	0.319610550369
n	0.0076398775332	0.00897771002467	0.012082675542	0.0120779013759	0.0249232764146	0.0584400270846	0.524325216568	0.35153331679
n	0.0151489754021	0.0181457298508	0.020627167874	0.015496810292	0.0307240049249	0.0655482528282	0.450954338856	0.383354729597
a	0.0191338774398	0.0257019849691	0.022410963498	0.0157550712707	0.0294817727283	0.0653959578094	0.396407515619	0.425712876532
</S>	0.0152009961899	0.0239315917689	0.016519826339	0.0144419640653	0.0226979611141	0.0542062959047	0.393587979809	0.459413401266
