 	l	ha	scritta	</S>
t	0.777820901	0.08261409563	0.0678269318845	0.0717381118082
o	0.605803831	0.22813925581	0.075001871886	0.0910550219585
è	0.341742216333	0.445905378603	0.100164667344	0.112187703791
g	0.180102130778	0.508373377801	0.151945023488	0.159579425057
r	0.138560613726	0.446307969534	0.197399397896	0.21773198056
a	0.110812616909	0.296720639045	0.335739486032	0.256727267755
t	0.0537165839163	0.142030682748	0.537910866677	0.266341896318
s	0.0360357288054	0.076430060316	0.602654340892	0.284879868573
e	0.0304794244751	0.0487880361053	0.510358141964	0.410374417591
</S>	0.0228281894176	0.0405382037526	0.432436125482	0.504197548795
