 	se	aveva	vestito	la	figlia	l	avessi	portato	alla	chiesa	</S>
a	0.654825131	0.1346787417	0.029821553507	0.0232626899814	0.021692026494	0.0212311242274	0.0215367421939	0.0217207754275	0.0230766753351	0.0244872670063	0.0236672462561
n	0.4524327802	0.230107379633	0.0669985345803	0.0348748273147	0.0256973433406	0.0242010580983	0.0288274206108	0.029164091221	0.0312254336865	0.0317475373028	0.0447235457387
ì	0.229666940667	0.326597093611	0.152503876593	0.0588737987049	0.0270629720535	0.0240548995062	0.0319203437876	0.0324443121798	0.033923512177	0.032130635483	0.0508215719621
c	0.135675520289	0.34312634687	0.209957901131	0.0715785959683	0.0281170515112	0.0226835350624	0.0410277011073	0.0451440953047	0.0343357224171	0.0304649858742	0.037888523919
h	0.142163248696	0.315535947557	0.221942340777	0.0669355051228	0.0303088344571	0.0236545843559	0.0453771781232	0.0505125551762	0.0355296897712	0.0337366548685	0.0343034762804
e	0.141462035632	0.263455280119	0.281950468526	0.0906653958409	0.0295846570257	0.0247835699335	0.0338071863534	0.0355721182213	0.0307089713434	0.0355198229611	0.0324905361344
n	0.085891132944	0.176745545573	0.347851442175	0.161498097947	0.0332338802886	0.025946335839	0.031160571565	0.0317674533074	0.030908062167	0.0382901676228	0.0367073105453
d	0.0843935805013	0.128923627858	0.314821146725	0.211573113649	0.0391047771629	0.0268441830997	0.0375027145737	0.0390619388978	0.03556549479	0.0425432694169	0.0396660612344
ì	0.0899970372604	0.110447792486	0.259325764908	0.274849104216	0.0511099219876	0.0272668298599	0.0385642777545	0.0411450593107	0.0332907998431	0.0378543424265	0.0361489780303
s	0.0618311127601	0.0846885234287	0.241738014969	0.363423344072	0.0632209465292	0.029762926702	0.0322573945314	0.0341601137553	0.0269718965566	0.0327395451127	0.0292061610477
o	0.0484349361334	0.0689258431162	0.22182055299	0.359977270024	0.126020257376	0.0322656341807	0.0280077126291	0.0284722275914	0.0244545872608	0.0319635329435	0.029657499164
n	0.0440348054049	0.0569917827681	0.174980150997	0.358704076008	0.187362902059	0.0424950529269	0.0245699029577	0.0239478362914	0.0228819111256	0.0297033497842	0.0343282580422
t	0.0806270769424	0.0545499072254	0.137297087732	0.370989506003	0.156148827886	0.0517338001756	0.0269794981726	0.0258983369481	0.0252683598798	0.0343556674909	0.0361519399673
a	0.0900430011311	0.0524331967418	0.113243203844	0.296565686668	0.205340810229	0.0737408879919	0.0300461977509	0.028288995949	0.0278283081416	0.0391196960805	0.0433499711982
i	0.0536378580377	0.0425345137139	0.081479580228	0.204060893823	0.33091289341	0.106875317131	0.0297922102236	0.0265321551393	0.0268671704285	0.0399375302696	0.0573697292469
k	0.0765957120569	0.040668087818	0.0619985622893	0.141829085274	0.333100479803	0.122742383044	0.0329898047545	0.0408810174031	0.0366572950576	0.0412377435593	0.0712998318864
i	0.078947116146	0.0368298028593	0.0524927304964	0.108278446091	0.278813643934	0.202703105015	0.0353599517182	0.0461348834644	0.0393011955661	0.0410437376537	0.0800954716741
a	0.0464854755016	0.0331169600858	0.0464591103188	0.085984191297	0.287495212311	0.269129404272	0.0379490355327	0.0332624729448	0.0293154421856	0.0487767196175	0.082026071387
