 	ho	scritto	una	lettera	al	mio	fratello	</S>
è	0.680180038	0.10337029144	0.044689822982	0.034472400227	0.0348812437381	0.0324951102502	0.0367433011045	0.033167815331
g	0.515859694	0.202921597947	0.094683266186	0.0369269184697	0.0378054068808	0.0330894861539	0.0381632609497	0.0405503992959
r	0.374299664667	0.302581739982	0.137857689928	0.0361802429352	0.0365646207149	0.0315999527136	0.0379077044557	0.0430083876859
a	0.284989963956	0.360510347994	0.178871104708	0.0350164078851	0.033904290657	0.031102435835	0.0367993723358	0.0388060075052
t	0.166122265185	0.378163613065	0.260251549303	0.0496282830137	0.0387456609571	0.0303816095945	0.0330201730993	0.0436867902688
s	0.107596213862	0.365658719688	0.296277704541	0.0657942988955	0.0477350212137	0.0308835652651	0.0326499487749	0.0534045435563
a	0.0899669474873	0.289239860163	0.361294299687	0.0791168785534	0.0473668833626	0.0342474794736	0.0390081559964	0.0597595614448
è	0.0700935016958	0.163840343901	0.477436477562	0.111445712811	0.0449595029709	0.0361128752743	0.0377878144188	0.0583238225067
n	0.0548676328786	0.11112057028	0.495292764187	0.167252960604	0.049342048057	0.032754165719	0.0315634721469	0.0578064062596
a	0.0582067214062	0.101905178893	0.368144498729	0.262192581535	0.074234915619	0.035296901053	0.0341112619862	0.0659079595221
n	0.0508820277267	0.0802326088843	0.21791520791	0.370590052512	0.127917577206	0.0432397655283	0.0315287599666	0.077694059935
g	0.0406158896002	0.0753093261481	0.133173842523	0.343950795944	0.198673067469	0.0578785162761	0.0298988141232	0.120499780421
r	0.0344337503001	0.0720249718494	0.0838207033677	0.247788282768	0.31966067089	0.068093002492	0.0315970070437	0.142581597256
à	0.02624793174	0.0459496061831	0.0761895337626	0.230664003136	0.391676654563	0.067078372144	0.0296001123935	0.132593750525
m	0.0234375856427	0.0354781928777	0.0820406719609	0.215418482112	0.395257611121	0.0708027122947	0.0354278976978	0.142136760184
m	0.0259172563702	0.0475201531426	0.067000731027	0.199923451971	0.377117919707	0.0886684257649	0.0528066240317	0.141045324045
a	0.0270124269774	0.0457393550629	0.0465065825277	0.165565209237	0.290955313456	0.185072084988	0.0947166722896	0.144432249279
u	0.0180932801467	0.0255168796354	0.0304163394002	0.104620797824	0.194540920552	0.295559626296	0.184577999297	0.146674085093
d	0.0142332153625	0.0184666487909	0.0243987441957	0.07270284584	0.142708847031	0.355424825332	0.202440207966	0.169624623431
e	0.0138908041108	0.0187718271906	0.0231681013106	0.0575775236263	0.108720779574	0.340122216817	0.245300422322	0.19244833981
r	0.0126564649316	0.0164965686105	0.0186981306335	0.0450854938684	0.084901862622	0.270984263312	0.333756270107	0.217420968003
f	0.00855895357653	0.0133429464862	0.0113515817692	0.0309171293568	0.0822300016073	0.283148933104	0.300371932169	0.270078457348
ù	0.00662553858484	0.0129570568781	0.00922706087707	0.0281274394929	0.0677754696024	0.248575246021	0.37059497419	0.256117149063
m	0.00813509100755	0.01394165389	0.0158489168517	0.042794582833	0.0604055302875	0.15937075086	0.467318363397	0.232185054354
m	0.00744592262452	0.016648200321	0.017956692144	0.0450624644397	0.0776840383158	0.21257282022	0.392127655399	0.230502100958
u	0.00708800559844	0.0155820613156	0.0133789617199	0.0361187135202	0.0695578111053	0.20959895774	0.340812700066	0.307862765159
</S>	0.00787515440352	0.0132500643802	0.0119947058607	0.0334866496506	0.0472721810526	0.13392617427	0.355343628033	0.39685149758
