 	deve	che	entra	da	qui	</S>
è	0.716799247	0.09618127962	0.0466269027363	0.0467861999228	0.0492714222703	0.0443349149281
n	0.539187957667	0.244484724993	0.064370735363	0.0496511026508	0.0527517999442	0.0495535534219
g	0.356341854556	0.379594034331	0.0996089397077	0.0540386844443	0.0543411802171	0.0560751385246
h	0.298797948585	0.377441686977	0.157790278314	0.0579276134596	0.0532342214033	0.0548081375133
i	0.234982481835	0.350401210526	0.268571668003	0.0521542230673	0.0450730186449	0.0488173963041
s	0.139165010452	0.314807876242	0.372533166281	0.0671536016518	0.0425503896745	0.0637900063152
e	0.103599858664	0.270481134147	0.402199097694	0.102502499497	0.0429100879692	0.0783073898046
n	0.0891589320947	0.206489958649	0.368498904831	0.195980517699	0.0550569848427	0.0848147151433
a	0.0653153919916	0.146707769683	0.280631806544	0.337534702766	0.0738200718142	0.0959902999298
m	0.0517044502859	0.106666125714	0.208826311335	0.387257487589	0.146216515605	0.0993292131233
b	0.0328556159706	0.066169897698	0.222259670798	0.323830181263	0.188696419388	0.166188182324
i	0.0189537092435	0.0452311182727	0.216420514599	0.297155602088	0.218582976383	0.203656039604
a	0.0136310375985	0.0324542360442	0.125384292706	0.292316184069	0.383791734528	0.152422532668
p	0.0120434286562	0.0211598839774	0.059424905644	0.197782619196	0.564938939509	0.144650210023
ò	0.0114304453621	0.0172027626318	0.0384214582633	0.114009185132	0.659755414503	0.159180691408
t	0.00848179501803	0.0132257914413	0.0289978929491	0.088138895324	0.690636010168	0.170519561869
t	0.00639407823601	0.0116908889791	0.0609126092977	0.0895949340547	0.628829826056	0.20257760973
ù	0.006793891902	0.010696792681	0.0672371141659	0.0883262239516	0.526540956019	0.300404951017
</S>	0.007892235881	0.0100511483255	0.0410810649829	0.0742473658758	0.490940183009	0.375787916508
