 	vado	vestito	</S>
i	0.731775237	0.14294418548	0.125280659363
p	0.674508025	0.15596621066	0.169525828646
à	0.588838395667	0.223821685753	0.187339936829
o	0.437413837889	0.396731603584	0.165854508143
n	0.219624742763	0.594136384528	0.186238835114
d	0.155468932388	0.612569334176	0.231961757305
i	0.129203503129	0.535156413392	0.335640135235
m	0.0705888401763	0.486020992464	0.443390254678
è	0.0655153464588	0.477689330821	0.456795340893
n	0.0970323344863	0.45748176294	0.445485916298
o	0.0900934695621	0.367954626447	0.541951916766
</S>	0.065614080781	0.300976890424	0.633408984383
