 	non	sono	andati	</S>
e	0.717764882	0.12041093299	0.068773134444	0.0930509717883
n	0.539986959333	0.25961672533	0.081486458186	0.118909774399
è	0.330001824578	0.460803624443	0.091496715702	0.117697818526
c	0.205445353833	0.562168526814	0.113889136701	0.118496991889
h	0.159380391984	0.536087933605	0.1734489701	0.131082716943
u	0.118068296595	0.385984632535	0.314129390033	0.181817690081
n	0.0608150345717	0.246849114712	0.448657668011	0.243678119594
e	0.0385555130439	0.157375265637	0.543577856004	0.260491243598
p	0.0244613311413	0.0747642765457	0.625665931335	0.275108421333
a	0.0276506304924	0.0493653864486	0.574275963112	0.348708063511
m	0.0281448337828	0.0393062779495	0.497105798371	0.43544310277
è	0.0343277525263	0.0515648852498	0.493448955457	0.420658400523
n	0.0490712458041	0.0815977262833	0.481236332486	0.388094663908
a	0.037652746758	0.0783586270544	0.400157860162	0.483830761036
</S>	0.027647219439	0.0612660830672	0.335088788081	0.575997981518
