 	Marika	è	che	si	sposa	domani	</S>
M	0.591110984	0.07750972148	0.0581515330654	0.0547940131494	0.0551047736927	0.0849014310257	0.0784276512792
a	0.513256320667	0.12080718356	0.0655329518235	0.0535186235605	0.0565445705908	0.0907754417516	0.0995649916197
r	0.373933095556	0.232165426453	0.098604330406	0.0576915444073	0.0472979705605	0.0802024506594	0.110105179826
ì	0.228608834785	0.349985442151	0.164918319102	0.0589912358398	0.0409913752382	0.0620589546909	0.0944458447289
k	0.164393425662	0.373701957384	0.231965824067	0.0618265635839	0.0404048087619	0.0503350093651	0.0773724326277
a	0.101908543821	0.349838640461	0.275553017556	0.08968018559	0.0382934346813	0.0563012672168	0.0884248562328
è	0.0625255842737	0.281310023354	0.331024533185	0.0924693472587	0.0588428767711	0.0645030036944	0.109324493371
n	0.0615590115179	0.194146089185	0.356377996595	0.0847311850196	0.116917141857	0.0667693567832	0.119499036276
a	0.054912671306	0.130066940053	0.273947769945	0.126434843247	0.202187732752	0.0894802755671	0.122969651165
r	0.0280987790247	0.0764007790023	0.200939268528	0.165626236589	0.278956793417	0.094830731015	0.155147334382
m	0.0140662292309	0.0522888193341	0.185450184043	0.172484078863	0.270637127749	0.129250100687	0.175823339514
a	0.00964086951697	0.039205518808	0.142093338598	0.181929454034	0.284780682326	0.155720988931	0.186629067305
s	0.00749323393432	0.0271921153467	0.103607419177	0.181033052758	0.293558363275	0.177165986299	0.209949744235
t	0.00451046056677	0.0231755507656	0.099760922739	0.162005448786	0.224528211492	0.259072183428	0.226947113312
ì	0.00680858400226	0.0229074729692	0.0762008189903	0.133479058709	0.176293665931	0.356441985349	0.227868374004
à	0.00869166075809	0.0185195000824	0.0419679387248	0.0817082275163	0.120796309897	0.515089167116	0.213227239968
v	0.0103734720247	0.0136898055023	0.0287478220616	0.0434342202854	0.074686703039	0.594568499439	0.234499584489
v	0.0100997807845	0.0327557284834	0.0553345102665	0.0364726291138	0.0604761395397	0.526235253013	0.278626022696
r	0.0054863363731	0.0576389678571	0.0676148558815	0.0565623528046	0.0440640779146	0.4266168182	0.342016635565
i	0.0041841227837	0.0485613875014	0.0427413922392	0.0596054930295	0.0298872686729	0.322950601262	0.492069833188
</S>	0.00393415172585	0.0319012000541	0.0298286722936	0.0411795856147	0.0258879258965	0.271106707831	0.596161861594
