 	non	mi	aspetti	che	non	vengo	</S>
m	0.4089567647	0.056699793132	0.14905670257	0.0746177948621	0.0397615693656	0.153868600465	0.117038795441
ì	0.326121452367	0.122429745731	0.14172227733	0.0834123584254	0.0401830030304	0.162593994128	0.123537139184
m	0.285890556056	0.17125403229	0.150969778103	0.0789264873645	0.0374223425151	0.167177937178	0.108358826241
e	0.222961587152	0.201038598897	0.184995611468	0.0940451764148	0.0371425033382	0.161207100148	0.098609363747
m	0.144849926451	0.241583286632	0.175331402729	0.120868084565	0.0370914452495	0.170716160805	0.109559621674
ì	0.0987709039503	0.199054029211	0.13356492611	0.219802249922	0.0349449031365	0.177795507768	0.136067399344
n	0.0985949914568	0.16671971447	0.15974866057	0.317901795107	0.0400009876455	0.106415001763	0.110618811674
i	0.0689292292523	0.12507438009	0.13363726499	0.386958510169	0.0985933231485	0.0896782756437	0.097129009704
k	0.0468928065548	0.0802599023193	0.0861314566633	0.44818820939	0.119833856783	0.0838726445306	0.134821154424
a	0.0369816675996	0.0617643702091	0.0576430489544	0.380652584797	0.180215225461	0.0911234540635	0.191619762475
e	0.0241453909796	0.0382992541717	0.0405961246915	0.250719558599	0.323064273354	0.121381024108	0.201794509985
n	0.0210282773443	0.0263412240126	0.0285058733038	0.155902571933	0.318136773385	0.231577733969	0.218507646622
è	0.0254255718855	0.0235270122258	0.0216792383746	0.100801930511	0.223390165062	0.35088114599	0.254294989207
r	0.0250049515972	0.0221945183702	0.0207719218982	0.0857553561703	0.199565556194	0.38643447333	0.260273244602
k	0.0197663292584	0.0590140670194	0.0233468832194	0.0726256221234	0.188992832458	0.38117697111	0.255077202667
o	0.0160278418381	0.0720714629745	0.0261749737951	0.0512605058098	0.142152987086	0.351694747037	0.340617344556
m	0.0130975726972	0.0381733878153	0.0230288708264	0.0356440835386	0.116380730402	0.401188885679	0.372486384452
e	0.0117932827017	0.0264790153929	0.0204847097721	0.0292518331129	0.106230728461	0.413903601426	0.391856802417
</S>	0.0122620648771	0.0254790682604	0.022824496592	0.0262556184065	0.0982655700305	0.351710963013	0.463202248208
