 	viene	fabbricato	</S>
è	0.697998654	0.18893525258	0.11306604247
r	0.624032718	0.265863079213	0.110104188405
k	0.55185338	0.306493570771	0.14165304271
e	0.400843752	0.390911526257	0.208244763603
t	0.286110816467	0.435709641419	0.278179590068
e	0.227360737956	0.40671696314	0.365922335023
f	0.119047260452	0.507870895047	0.373081893341
a	0.0829894767507	0.519534074749	0.39747650978
b	0.0644491888569	0.469327036983	0.466223822593
b	0.0594973976256	0.488450803328	0.452051834198
r	0.0785180034085	0.459328472443	0.462153546733
i	0.0723775658962	0.454020220148	0.473602198244
k	0.0490817419521	0.438174696449	0.512743556081
à	0.046530895544	0.423811715883	0.52965740736
t	0.0533377800013	0.410653945961	0.536008287787
o	0.0521466839538	0.346990319654	0.600862990596
</S>	0.0485555861769	0.328550129327	0.622894271298
