 	forse	sono	usciti	</S>
f	0.637829736	0.11659197578	0.103619962187	0.141958299638
ò	0.596840417333	0.140371019247	0.133629374556	0.129159183977
r	0.572525151778	0.178219205749	0.142378064823	0.106877544246
s	0.543147337926	0.19708606713	0.14198009919	0.117786455889
i	0.403487547875	0.237394288657	0.238054579846	0.121063580445
e	0.220342492865	0.252443222219	0.366162219682	0.161052101948
g	0.119586719188	0.263244252206	0.375788367094	0.241380652649
g	0.114518891956	0.246983476469	0.286834479165	0.35166311955
u	0.101952593725	0.189798996356	0.272010924655	0.436237501183
ì	0.053137268515	0.166912974919	0.300773587552	0.479176137061
k	0.0521123099717	0.137348884106	0.293518377851	0.517020402354
a	0.0578147979839	0.119822913302	0.254979766217	0.567382570785
n	0.056697490388	0.136597256967	0.219232089272	0.587473184262
e	0.0524162881293	0.144068214456	0.204346387357	0.599169093421
</S>	0.0460096015647	0.134820538128	0.185284377679	0.63388546271
