 	la	donna	è	capace	pulire	deve	pulire	la	casa	ogni	giorno	</S>
e	0.6695948085	0.09154847507	0.025429854471	0.0234590775797	0.0217930792723	0.0217357588546	0.0221750306966	0.0220144790208	0.0239025060182	0.0225801951509	0.0270447370349	0.0287220476364
j	0.5518697085	0.163156924557	0.037041461457	0.0253801625804	0.0240040012828	0.0244144220766	0.0244499915425	0.023753106695	0.0260678346091	0.0249990382102	0.0332911156477	0.0415723032654
i	0.4677871595	0.222730025519	0.0428185606523	0.0269826416529	0.0255308349199	0.0259684221343	0.0254255015842	0.0244706338174	0.0269195204031	0.0259778943578	0.0362795345997	0.0491093461504
n	0.355460700167	0.27433224864	0.0775377295508	0.0311016275171	0.0278885894218	0.0293699902889	0.028380242082	0.026751072561	0.0305049081156	0.027538795898	0.0381879485461	0.0529462291986
è	0.210298958122	0.36907192528	0.13930667685	0.0300911564744	0.0255561831305	0.0289905588336	0.0286288385841	0.0260689325684	0.0316254522195	0.0254882008798	0.0334785017046	0.0513947117188
k	0.180578031774	0.38748406176	0.17250739855	0.0356260358268	0.0252565442134	0.0284372300128	0.0255302028886	0.0231160584522	0.0296872172516	0.0218811504263	0.0276230805626	0.0422730353052
a	0.173345689391	0.313615674587	0.242324146117	0.0443268789423	0.0286414221965	0.0304252499692	0.0246218152145	0.022910066231	0.0280983067835	0.0221081823993	0.0277056211189	0.0418769780925
è	0.11618574011	0.260516946196	0.329827102172	0.0661984559141	0.0283676642308	0.0291381156686	0.0254102776555	0.0226034540641	0.0275786708047	0.0221342883487	0.0260572997174	0.0459820223567
n	0.0936468364833	0.199779419732	0.383969944724	0.0877126927047	0.0327556983349	0.0301826449963	0.0269551092174	0.0224446985718	0.0274231028624	0.0215649742173	0.0252815622472	0.0482833474651
e	0.0892077267411	0.145567319531	0.366360208508	0.147591233168	0.0427560381296	0.0305005676674	0.0274867247676	0.0231504236548	0.0281104537271	0.0217871548973	0.026431846882	0.0510503387436
k	0.071730751165	0.130777753217	0.301570753503	0.211844487923	0.0673926085765	0.0368430372425	0.0279069607272	0.0234511352807	0.0282578754946	0.0239087389569	0.0260719192382	0.0502440076504
a	0.0561286625263	0.116841579739	0.236779466501	0.225468581974	0.132181380392	0.0410570708808	0.0297529779422	0.0249195594932	0.0288309524066	0.0254722022096	0.0267173753919	0.0558502511092
