 	vuole	andare	a	Lecce	</S>
i	0.759805702	0.09147178114	0.0477212953458	0.0484165213104	0.0525846862501
t	0.613782764	0.202275181853	0.0572950183354	0.0539086213969	0.0727384506973
è	0.463397491333	0.332415626618	0.0614824303638	0.0527869129989	0.0899175810562
l	0.375718296778	0.394158514206	0.0814441687733	0.0533639046278	0.0953151333615
i	0.251584977259	0.464328115402	0.123019327224	0.0534829273869	0.107584676407
n	0.143104010553	0.499191363134	0.190334029108	0.058688523085	0.108682063051
a	0.091456999451	0.441174990378	0.269538687103	0.0763033668283	0.12152591652
p	0.071048227997	0.349308154126	0.296357150768	0.155238357076	0.128048111347
à	0.0587674429123	0.247239935175	0.326761652923	0.210111794759	0.157119175536
i	0.0434414001941	0.156942246858	0.338301764308	0.261929995653	0.199384616085
L	0.0242140093147	0.100790107273	0.303928419103	0.382516163884	0.188551315895
u	0.0226919166182	0.0784970324777	0.239170365368	0.440682086295	0.218958573565
p	0.0202700723261	0.0621411548792	0.163421453389	0.475774461765	0.278392793322
p	0.0215830405287	0.0434964698797	0.136850718623	0.467933429255	0.330136264974
ì	0.0223686553296	0.0406423893599	0.150309580968	0.438228451352	0.348450898658
u	0.0146593485132	0.0389597694333	0.138605367056	0.383996690451	0.423778797886
n	0.0244339352211	0.0464317452111	0.114717209352	0.371546313884	0.442870795295
a	0.0314793309197	0.0462774643704	0.106608215184	0.324752240628	0.490882768432
</S>	0.0262824259089	0.0376360293052	0.094535187992	0.230665540314	0.610880804216
