 	se	la	pasta	voleva	sale	lo	avevo	messo	</S>
s	0.456277029	0.3048339335	0.0591448977	0.0297383944906	0.0290947415448	0.0280597714528	0.0292284782272	0.0325702707672	0.0310525641125
e	0.400014218333	0.331980306833	0.0740563201	0.0341159377488	0.0299031814362	0.0294792438318	0.0309748072771	0.0357712385607	0.0337048254711
t	0.244611245544	0.382331929878	0.122003003033	0.0448872378255	0.0314892996073	0.0297338773467	0.0327064231651	0.0490737272655	0.0631632867848
i	0.153215681348	0.381281314893	0.189319155678	0.0483590739418	0.0314346668906	0.0290926415712	0.0328219776844	0.0536700358456	0.0808054742311
p	0.112967593669	0.362119176698	0.237895591893	0.0520552289806	0.0348513475184	0.0309643274841	0.0371647384672	0.0571784361476	0.0748035547043
à	0.083267400423	0.301107700899	0.296921021964	0.0877892935935	0.0341198491795	0.0285908612964	0.0362025733253	0.0537509887598	0.0782502781806
s	0.0636307546677	0.2688611835	0.329820827321	0.129819931398	0.0289157173798	0.0249823160958	0.0273019916889	0.039164522673	0.0875027703923
t	0.0650309311359	0.220805558167	0.35019246444	0.145827945733	0.0387705506066	0.028540786108	0.0300484463115	0.0392206166664	0.0815627289766
a	0.058438396352	0.152007202989	0.338346624147	0.213790407778	0.0587427059022	0.0322667343564	0.0361739839746	0.0393032269039	0.0709306823234
ì	0.0396200537607	0.0990512757763	0.253321978982	0.343841888459	0.0763647399674	0.0306850702137	0.0345073865519	0.0376303115761	0.0849772607295
t	0.0345090303636	0.0692952838254	0.165536435127	0.42832241702	0.0932508589891	0.0267790412692	0.0268702829478	0.035206771599	0.12022992092
e	0.0360171519012	0.0586246922151	0.103823238402	0.37096355694	0.187484475063	0.0461219647697	0.0339269930758	0.0382992022326	0.124738785328
l	0.0376266792689	0.053207487145	0.0773336612607	0.269756217913	0.267235282354	0.0855781607232	0.0420481022655	0.0436743578235	0.123540041621
e	0.0348404010955	0.047063716635	0.0594383793562	0.205787885324	0.272813576385	0.152892167908	0.0403489262152	0.0481155663808	0.138699343699
à	0.0239540802384	0.0337707926837	0.0457981384547	0.141864626635	0.335796610262	0.193860400636	0.0484230235451	0.0588135805876	0.117718757104
l	0.0200811344928	0.0233368058146	0.0324920967382	0.105390128118	0.376809289487	0.195864816212	0.0502686600884	0.0662976788396	0.129459452551
a	0.0234838423917	0.0251978456949	0.0304935361174	0.0783529656547	0.288476556296	0.272343233137	0.0507164972695	0.0870594296265	0.143876143957
t	0.0224878617455	0.0229530546916	0.0274867881305	0.0534614070536	0.174984909499	0.389074050446	0.0712149752898	0.114717711809	0.123619187179
o	0.0218578877031	0.0203361468579	0.0240586764548	0.0401049432152	0.114067161273	0.383320343415	0.11336252483	0.15687877305	0.126013436473
n	0.0206139398058	0.0199334854513	0.0219362264763	0.0346918063357	0.084303405531	0.282754822072	0.179980823677	0.206277226083	0.149508202738
ì	0.0155151651023	0.0153939114124	0.0185856717254	0.0315312099786	0.0770285195103	0.204416375824	0.266731107226	0.215326797228	0.155471211939
c	0.0134637767226	0.0139899834881	0.0184476375485	0.0342236128662	0.0703154947968	0.152904348275	0.304970346742	0.250948739276	0.14073608094
h	0.0128931319203	0.0114560680167	0.0184411101408	0.0315640941287	0.0577792908923	0.131853471892	0.293595799647	0.312900918892	0.129516197513
a	0.0104732803035	0.00867547354623	0.0160819219183	0.0209807661922	0.0388455314174	0.0954444091107	0.266955360282	0.372733662297	0.169809649904
v	0.00736911127603	0.00663517352008	0.0101398668128	0.0125100964534	0.0219007125058	0.0503941407702	0.245074257027	0.442064552099	0.203912168235
à	0.00553279806288	0.00534436750109	0.00709303677093	0.0088750889978	0.0163688393713	0.0346321473234	0.201864000076	0.5174471307	0.202842710545
l	0.00611487402276	0.0057467333941	0.00730877305698	0.00942719082593	0.0189377199931	0.0312834449278	0.168362752959	0.535523328233	0.217295227315
o	0.00761884737583	0.0069023783607	0.00830826324566	0.0104565345953	0.0180948775577	0.0262329200866	0.152891240053	0.492751008078	0.276743947505
n	0.00787635416238	0.00728042875557	0.00813025057522	0.00991349332177	0.0142428616926	0.0217792336222	0.136122192618	0.497940288026	0.296714950502
t	0.0136950565472	0.00582288925052	0.00946187379174	0.00989819836392	0.0159125727709	0.0257515779767	0.155827416139	0.515506955342	0.248123501234
a	0.0162669486621	0.00641021089617	0.0174379459906	0.0118157548746	0.0172686423103	0.0230772080189	0.13674565938	0.502225076447	0.268752605478
</S>	0.0127947800821	0.00817106773708	0.0236661647853	0.0133264694373	0.0167349370152	0.0184286905295	0.10827338929	0.493477199223	0.305127393739
